label,APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30
1,28.867,0.0,9.622,0.0,4.811,24.056,4.811,0.0,0.0,0.0,4.811,0.0,0.0,0.0,0.0,0.0,9.622,4.811,0.0,4.811,0.462,2.05,0.298,0.876,-0.01,1.458,0.038,-0.072,-0.635,-0.688
1,15.397,5.132,0.0,10.265,5.132,5.132,0.0,5.132,10.265,0.0,10.265,0.0,5.132,0.0,5.132,5.132,5.132,0.0,5.132,10.265,-0.698,0.123,0.133,-0.647,-1.473,-1.109,0.965,0.405,-0.169,-0.18
1,9.801,0.0,4.901,4.901,4.901,4.901,4.901,0.0,4.901,0.0,4.901,0.0,0.0,0.0,14.702,0.0,9.801,4.901,0.0,24.503,1.269,0.686,0.76,0.284,-0.407,-0.368,-0.598,-0.397,-0.191,0.951
1,5.04,0.0,15.12,5.04,5.04,10.08,5.04,0.0,0.0,0.0,5.04,0.0,0.0,0.0,15.12,0.0,10.08,0.0,0.0,25.2,0.675,0.312,0.6,-0.076,-0.287,-0.307,-0.635,-0.786,-0.736,0.438
1,20.52,0.0,0.0,5.13,0.0,10.26,0.0,15.39,0.0,5.13,5.13,5.13,0.0,5.13,10.26,0.0,10.26,0.0,5.13,5.13,-0.8,-1.318,1.165,0.123,-1.011,-1.99,1.585,1.082,-0.703,-0.734
1,23.644,14.186,9.458,4.729,0.0,18.915,0.0,4.729,0.0,4.729,0.0,0.0,0.0,0.0,0.0,0.0,4.729,0.0,0.0,9.458,-0.497,-0.492,-0.563,2.029,-2.223,-0.69,2.591,2.44,1.064,1.764
1,20.44,5.11,5.11,5.11,0.0,10.22,5.11,10.22,0.0,10.22,0.0,0.0,0.0,0.0,0.0,0.0,10.22,0.0,0.0,20.44,0.215,0.077,-0.935,-1.487,1.814,1.819,-0.608,1.104,-2.248,-1.952
1,14.931,0.0,4.977,4.977,0.0,4.977,0.0,9.954,0.0,9.954,4.977,4.977,0.0,4.977,4.977,4.977,19.908,0.0,0.0,4.977,-0.025,-0.523,-0.09,-0.557,1.19,0.538,0.299,0.622,-0.473,-0.523
1,9.781,4.89,0.0,0.0,4.89,0.0,4.89,19.562,4.89,0.0,0.0,4.89,0.0,4.89,4.89,14.671,4.89,4.89,4.89,4.89,0.636,-0.117,1.775,1.364,-0.122,-0.685,0.474,0.269,-0.675,-0.729
1,5.127,15.38,5.127,0.0,0.0,0.0,10.253,20.507,0.0,15.38,0.0,5.127,5.127,5.127,5.127,0.0,5.127,0.0,0.0,5.127,-0.8,-0.174,-1.912,-1.046,0.6,0.492,0.815,-0.364,0.092,-0.236
1,5.302,10.604,0.0,0.0,0.0,0.0,15.907,31.813,0.0,5.302,10.604,0.0,0.0,0.0,21.209,0.0,0.0,0.0,0.0,5.302,1.972,0.371,-1.379,-0.281,-1.75,-0.371,-2.105,-1.071,-0.954,-0.477
