label,PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25
1,21.762,0.0,7.254,0.0,3.627,18.135,3.627,0.0,0.0,0.0,3.627,0.0,0.0,0.0,0.0,0.0,7.254,3.627,0.0,3.627,4.646,5.023,5.872,5.618,6.3
1,10.389,3.463,0.0,6.926,3.463,3.463,0.0,3.463,6.926,0.0,6.926,0.0,3.463,0.0,3.463,3.463,3.463,0.0,3.463,6.926,6.649,5.752,7.327,5.205,5.811
1,7.864,0.0,3.932,3.932,3.932,3.932,3.932,0.0,3.932,0.0,3.932,0.0,0.0,0.0,11.797,0.0,7.864,3.932,0.0,19.661,4.471,3.83,3.932,5.364,3.759
1,4.005,0.0,12.016,4.005,4.005,8.011,4.005,0.0,0.0,0.0,4.005,0.0,0.0,0.0,12.016,0.0,8.011,0.0,0.0,20.027,3.337,3.493,4.098,4.678,4.286
1,13.957,0.0,0.0,3.489,0.0,6.978,0.0,10.468,0.0,3.489,3.489,3.489,0.0,3.489,6.978,0.0,6.978,0.0,3.489,3.489,7.017,5.946,7.289,3.821,6.144
1,15.191,9.115,6.076,3.038,0.0,12.153,0.0,3.038,0.0,3.038,0.0,0.0,0.0,0.0,0.0,0.0,3.038,0.0,0.0,6.076,9.081,6.42,10.218,5.921,7.596
1,13.543,3.386,3.386,3.386,0.0,6.772,3.386,6.772,0.0,6.772,0.0,0.0,0.0,0.0,0.0,0.0,6.772,0.0,0.0,13.543,6.227,6.589,4.882,5.593,8.993
1,11.531,0.0,3.844,3.844,0.0,3.844,0.0,7.687,0.0,7.687,3.844,3.844,0.0,3.844,3.844,3.844,15.375,0.0,0.0,3.844,4.455,5.027,3.552,4.582,5.512
1,6.831,3.415,0.0,0.0,3.415,0.0,3.415,13.661,3.415,0.0,0.0,3.415,0.0,3.415,3.415,10.246,3.415,3.415,3.415,3.415,7.49,5.102,4.631,7.292,7.179
1,3.01,9.03,3.01,0.0,0.0,0.0,6.02,12.041,0.0,9.03,0.0,3.01,3.01,3.01,3.01,0.0,3.01,0.0,0.0,3.01,8.964,8.308,7.592,7.279,7.655
1,3.284,6.569,0.0,0.0,0.0,0.0,9.853,19.706,0.0,3.284,6.569,0.0,0.0,0.0,13.138,0.0,0.0,0.0,0.0,3.284,5.107,7.498,5.662,8.313,7.731
1,6.432,6.432,9.648,3.216,3.216,0.0,6.432,0.0,3.216,6.432,3.216,6.432,0.0,0.0,0.0,3.216,3.216,3.216,0.0,0.0,8.493,7.3,5.682,7.747,6.461
1,6.65,3.325,3.325,0.0,0.0,3.325,6.65,0.0,3.325,3.325,3.325,3.325,3.325,0.0,3.325,3.325,3.325,3.325,0.0,13.301,7.295,7.801,5.37,6.717,6.314
1,11.321,0.0,3.774,0.0,3.774,3.774,3.774,0.0,3.774,0.0,0.0,11.321,0.0,0.0,7.547,11.321,7.547,0.0,3.774,3.774,4.015,4.34,4.989,5.925,5.26
1,6.561,3.281,0.0,3.281,0.0,6.561,3.281,3.281,0.0,3.281,3.281,3.281,0.0,3.281,0.0,3.281,9.842,0.0,6.561,6.561,6.046,7.466,7.795,5.147,7.936
1,26.834,3.354,0.0,0.0,0.0,10.063,3.354,6.708,0.0,0.0,6.708,0.0,0.0,0.0,0.0,6.708,0.0,0.0,3.354,0.0,5.387,7.403,7.054,6.927,6.145
1,6.625,3.312,0.0,0.0,3.312,3.312,6.625,6.625,0.0,6.625,0.0,3.312,6.625,0.0,6.625,3.312,0.0,3.312,3.312,3.312,7.887,6.489,6.194,6.241,6.94
1,11.113,0.0,7.409,0.0,7.409,0.0,0.0,3.704,3.704,11.113,3.704,7.409,0.0,3.704,7.409,0.0,3.704,0.0,3.704,0.0,4.96,3.997,5.016,5.271,6.668
1,22.351,0.0,3.725,0.0,0.0,0.0,7.45,14.901,0.0,0.0,3.725,3.725,0.0,7.45,3.725,0.0,0.0,0.0,0.0,7.45,4.329,4.794,5.342,5.964,5.066
1,4.093,0.0,4.093,4.093,0.0,4.093,0.0,0.0,8.187,4.093,20.467,0.0,0.0,0.0,24.56,4.093,4.093,0.0,0.0,0.0,3.897,4.081,3.307,3.041,3.807
1,21.959,3.66,0.0,0.0,0.0,7.32,7.32,3.66,0.0,0.0,3.66,0.0,0.0,0.0,21.959,3.66,0.0,0.0,0.0,0.0,4.414,5.501,6.145,6.137,4.608
1,3.542,0.0,0.0,0.0,0.0,17.709,7.083,3.542,0.0,0.0,7.083,0.0,0.0,3.542,10.625,0.0,3.542,3.542,0.0,10.625,4.916,4.516,6.173,6.014,7.547
1,9.426,9.426,0.0,6.284,0.0,3.142,0.0,6.284,0.0,3.142,9.426,0.0,0.0,3.142,6.284,3.142,3.142,0.0,0.0,0.0,6.922,8.606,8.543,6.472,6.617
1,7.288,7.288,0.0,3.644,0.0,0.0,0.0,7.288,7.288,0.0,0.0,3.644,0.0,0.0,18.22,0.0,18.22,0.0,0.0,0.0,7.277,3.965,7.073,3.334,5.47
1,3.565,3.565,3.565,7.131,0.0,7.131,0.0,0.0,3.565,0.0,21.392,3.565,3.565,3.565,0.0,3.565,0.0,0.0,3.565,3.565,6.432,4.389,6.646,4.999,6.229
1,19.242,0.0,3.848,0.0,3.848,7.697,0.0,3.848,0.0,7.697,7.697,0.0,3.848,3.848,0.0,3.848,7.697,0.0,0.0,3.848,3.698,5.63,5.072,4.222,4.41
1,3.709,3.709,7.418,0.0,0.0,3.709,7.418,3.709,0.0,0.0,7.418,0.0,0.0,7.418,7.418,11.126,3.709,0.0,3.709,3.709,4.959,5.396,5.723,4.792,4.955
1,13.386,10.04,0.0,3.347,0.0,0.0,3.347,16.733,0.0,3.347,3.347,0.0,0.0,0.0,6.693,0.0,3.347,0.0,0.0,3.347,6.449,7.828,7.67,6.606,4.515
1,7.928,0.0,7.928,3.964,0.0,3.964,3.964,11.892,0.0,0.0,11.892,0.0,3.964,0.0,3.964,3.964,11.892,0.0,0.0,3.964,3.853,4.475,4.225,3.904,4.265
1,6.764,6.764,6.764,0.0,3.382,6.764,6.764,3.382,3.382,6.764,3.382,0.0,0.0,0.0,3.382,6.764,3.382,0.0,0.0,0.0,4.288,6.49,7.251,6.338,7.992
1,6.137,6.137,0.0,3.068,0.0,3.068,9.205,3.068,0.0,6.137,15.342,3.068,0.0,0.0,0.0,0.0,0.0,0.0,3.068,3.068,6.907,8.279,8.846,8.076,6.523
1,17.245,0.0,6.898,3.449,0.0,0.0,0.0,3.449,0.0,0.0,3.449,3.449,3.449,0.0,0.0,3.449,0.0,3.449,6.898,13.796,7.322,5.829,6.681,6.143,5.046
1,6.533,0.0,0.0,6.533,0.0,6.533,3.266,13.066,0.0,0.0,0.0,13.066,3.266,3.266,0.0,0.0,0.0,0.0,0.0,9.799,6.438,7.712,6.056,7.644,6.82
1,10.747,0.0,10.747,0.0,0.0,7.164,3.582,0.0,0.0,3.582,3.582,3.582,0.0,7.164,0.0,14.329,0.0,0.0,3.582,3.582,5.928,6.09,6.33,6.007,4.001
1,10.993,0.0,7.329,10.993,0.0,0.0,3.664,3.664,3.664,7.329,3.664,3.664,3.664,0.0,0.0,0.0,7.329,0.0,0.0,7.329,5.317,5.87,5.632,4.819,5.075
1,14.642,0.0,7.321,3.66,0.0,0.0,7.321,7.321,0.0,3.66,0.0,3.66,0.0,3.66,3.66,0.0,3.66,0.0,3.66,10.981,7.368,4.645,5.762,3.638,5.377
1,9.995,3.332,3.332,0.0,6.663,0.0,6.663,3.332,3.332,0.0,3.332,0.0,0.0,3.332,3.332,0.0,6.663,6.663,0.0,6.663,7.35,6.37,7.243,5.241,7.163
1,8.996,2.999,0.0,5.997,0.0,2.999,0.0,8.996,0.0,8.996,0.0,2.999,5.997,2.999,2.999,0.0,2.999,2.999,0.0,0.0,8.537,7.731,7.419,9.026,7.314
1,3.46,3.46,3.46,10.38,3.46,0.0,3.46,10.38,3.46,0.0,0.0,10.38,3.46,3.46,6.92,3.46,0.0,0.0,0.0,0.0,7.449,6.248,5.425,6.408,5.273
1,6.474,0.0,6.474,3.237,3.237,3.237,0.0,3.237,0.0,9.711,3.237,9.711,0.0,0.0,3.237,3.237,0.0,3.237,3.237,3.237,5.687,7.73,9.445,6.649,5.752
1,3.395,3.395,6.791,6.791,6.791,0.0,0.0,6.791,3.395,0.0,6.791,3.395,0.0,3.395,3.395,6.791,0.0,0.0,3.395,3.395,6.376,5.242,7.483,6.105,6.886
1,3.298,3.298,3.298,3.298,3.298,6.597,3.298,6.597,0.0,3.298,3.298,3.298,0.0,0.0,9.895,0.0,0.0,3.298,6.597,3.298,8.539,6.521,7.368,5.92,5.686
1,3.501,0.0,0.0,0.0,7.003,0.0,3.501,10.504,0.0,7.003,10.504,3.501,0.0,0.0,3.501,3.501,7.003,7.003,0.0,3.501,5.76,6.131,5.672,6.642,5.77
1,13.31,0.0,3.328,0.0,6.655,0.0,0.0,6.655,0.0,0.0,3.328,3.328,0.0,6.655,0.0,6.655,3.328,9.983,3.328,0.0,5.198,6.778,6.941,7.377,7.154
1,5.861,11.722,5.861,0.0,5.861,0.0,0.0,5.861,0.0,0.0,0.0,2.93,0.0,0.0,0.0,2.93,2.93,0.0,0.0,14.652,6.485,5.635,8.621,8.15,12.499
1,6.95,0.0,6.95,0.0,3.475,0.0,0.0,3.475,0.0,3.475,6.95,6.95,0.0,0.0,3.475,10.424,6.95,6.95,0.0,3.475,6.543,6.897,6.838,4.538,5.688
1,0.0,3.712,3.712,3.712,11.135,3.712,0.0,0.0,0.0,3.712,7.423,11.135,3.712,0.0,3.712,7.423,7.423,0.0,0.0,3.712,6.41,4.216,4.432,6.039,4.673
1,0.0,0.0,0.0,3.729,11.188,0.0,0.0,0.0,0.0,0.0,18.647,14.918,0.0,0.0,7.459,3.729,7.459,0.0,0.0,7.459,7.336,3.834,4.464,4.938,4.841
1,3.213,6.426,0.0,3.213,6.426,6.426,6.426,0.0,0.0,0.0,3.213,6.426,3.213,3.213,6.426,0.0,3.213,3.213,3.213,0.0,6.641,7.248,8.35,6.558,6.943
1,3.725,0.0,0.0,3.725,3.725,14.899,7.45,3.725,3.725,3.725,7.45,0.0,11.174,0.0,3.725,3.725,0.0,0.0,3.725,0.0,4.693,5.956,3.706,5.137,6.012
1,17.033,3.407,0.0,6.813,0.0,3.407,0.0,10.22,3.407,3.407,3.407,3.407,0.0,0.0,0.0,6.813,3.407,0.0,0.0,3.407,4.943,7.351,5.675,6.37,7.529
1,7.085,0.0,0.0,14.17,0.0,7.085,0.0,0.0,3.543,7.085,3.543,3.543,3.543,3.543,3.543,3.543,7.085,0.0,0.0,3.543,6.954,6.38,6.777,4.028,5.009
1,0.0,0.0,0.0,10.716,0.0,3.572,3.572,10.716,0.0,3.572,7.144,3.572,0.0,3.572,3.572,7.144,10.716,0.0,3.572,0.0,6.019,5.237,7.666,5.587,4.051
1,0.0,6.476,0.0,6.476,0.0,3.238,3.238,3.238,0.0,6.476,3.238,3.238,0.0,3.238,9.714,6.476,3.238,0.0,6.476,0.0,7.6,8.532,6.087,5.757,7.263
1,3.769,0.0,7.537,3.769,0.0,11.306,0.0,3.769,3.769,0.0,11.306,7.537,0.0,0.0,3.769,7.537,3.769,0.0,0.0,7.537,5.555,5.401,2.608,5.37,5.691
1,3.107,0.0,0.0,3.107,0.0,0.0,0.0,3.107,0.0,3.107,6.215,12.43,0.0,0.0,6.215,6.215,6.215,6.215,3.107,3.107,9.978,5.388,7.744,7.085,7.657
1,11.907,0.0,7.938,3.969,0.0,0.0,7.938,11.907,3.969,0.0,7.938,0.0,3.969,0.0,3.969,0.0,11.907,0.0,0.0,3.969,3.449,4.894,4.104,3.929,4.243
1,6.738,6.738,0.0,6.738,3.369,3.369,6.738,0.0,0.0,0.0,6.738,6.738,0.0,0.0,3.369,6.738,6.738,0.0,0.0,3.369,8.389,7.072,5.707,4.942,6.509
1,15.647,9.388,6.259,3.129,0.0,9.388,0.0,3.129,0.0,3.129,0.0,0.0,0.0,0.0,3.129,0.0,3.129,0.0,0.0,6.259,8.393,7.188,9.87,6.262,5.699
1,6.465,6.465,3.232,6.465,0.0,0.0,3.232,3.232,0.0,6.465,0.0,9.697,0.0,0.0,3.232,3.232,0.0,0.0,0.0,12.93,5.699,6.597,8.605,7.131,7.318
1,7.346,3.673,7.346,7.346,3.673,3.673,0.0,7.346,3.673,0.0,3.673,0.0,0.0,0.0,3.673,7.346,7.346,0.0,0.0,7.346,5.234,5.906,4.518,4.929,5.957
1,19.824,3.304,3.304,6.608,0.0,0.0,0.0,6.608,3.304,3.304,0.0,3.304,0.0,6.608,6.608,0.0,0.0,0.0,3.304,0.0,7.381,7.249,6.386,5.405,7.5
1,0.0,3.29,0.0,3.29,0.0,6.579,3.29,6.579,3.29,6.579,6.579,3.29,3.29,0.0,6.579,6.579,0.0,3.29,3.29,0.0,7.076,8.185,6.079,6.395,6.471
1,0.0,12.477,0.0,9.357,0.0,15.596,0.0,9.357,0.0,6.238,0.0,0.0,0.0,0.0,6.238,3.119,0.0,0.0,0.0,0.0,6.251,7.976,8.422,8.503,6.466
1,13.377,3.344,0.0,3.344,0.0,6.689,3.344,6.689,6.689,3.344,0.0,0.0,0.0,0.0,10.033,0.0,0.0,3.344,0.0,6.689,7.113,6.736,5.09,8.411,5.762
1,3.717,0.0,0.0,3.717,3.717,3.717,0.0,14.866,7.433,3.717,3.717,0.0,3.717,3.717,0.0,11.15,3.717,0.0,0.0,7.433,4.01,4.779,4.549,5.616,6.716
1,11.861,0.0,3.954,3.954,0.0,0.0,15.815,3.954,3.954,3.954,0.0,0.0,0.0,0.0,3.954,11.861,3.954,0.0,3.954,7.907,4.57,4.555,4.175,4.096,3.531
1,12.86,0.0,0.0,4.287,0.0,4.287,0.0,0.0,0.0,4.287,0.0,0.0,0.0,0.0,17.146,12.86,30.006,0.0,0.0,0.0,2.701,3.271,2.812,2.945,2.542
1,10.493,3.498,0.0,6.995,0.0,0.0,0.0,3.498,0.0,6.995,10.493,0.0,3.498,0.0,3.498,6.995,3.498,0.0,3.498,6.995,7.555,6.495,4.155,6.782,5.061
1,9.691,3.23,3.23,3.23,0.0,12.922,0.0,3.23,6.461,3.23,0.0,0.0,0.0,0.0,6.461,0.0,3.23,3.23,0.0,6.461,6.849,7.947,6.025,7.911,6.658
1,12.968,3.242,3.242,3.242,0.0,9.726,0.0,3.242,6.484,6.484,0.0,0.0,0.0,0.0,6.484,0.0,0.0,3.242,0.0,6.484,6.779,7.612,5.806,7.93,7.035
1,15.771,6.309,3.154,6.309,3.154,3.154,0.0,3.154,0.0,3.154,0.0,3.154,0.0,3.154,3.154,3.154,6.309,0.0,0.0,0.0,7.006,8.072,6.57,7.649,7.618
1,6.779,3.389,3.389,6.779,0.0,10.168,3.389,3.389,0.0,0.0,6.779,10.168,0.0,3.389,0.0,0.0,6.779,0.0,0.0,3.389,6.843,8.277,5.806,4.362,6.928
1,0.0,6.388,0.0,12.776,0.0,6.388,6.388,0.0,3.194,6.388,0.0,6.388,0.0,3.194,0.0,3.194,0.0,0.0,3.194,6.388,7.624,8.627,4.366,7.516,7.985
1,9.265,6.177,3.088,3.088,0.0,6.177,3.088,3.088,0.0,6.177,6.177,3.088,0.0,3.088,3.088,0.0,3.088,0.0,3.088,0.0,8.323,9.815,7.063,4.765,8.265
1,3.38,0.0,0.0,6.759,0.0,3.38,0.0,3.38,0.0,10.139,3.38,3.38,0.0,3.38,6.759,10.139,3.38,0.0,6.759,3.38,6.198,5.85,6.455,7.053,6.851
1,11.213,0.0,11.213,7.475,0.0,22.426,3.738,0.0,11.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.475,5.958,5.449,6.264,2.276,5.3
1,0.0,3.299,3.299,9.896,0.0,9.896,3.299,0.0,0.0,6.597,0.0,3.299,6.597,3.299,0.0,3.299,3.299,0.0,0.0,9.896,5.529,7.759,5.436,6.838,8.464
1,7.804,0.0,7.804,3.902,0.0,3.902,3.902,3.902,0.0,0.0,11.706,0.0,7.804,3.902,7.804,7.804,7.804,0.0,0.0,0.0,4.257,5.018,3.863,4.082,4.737
1,19.634,0.0,0.0,0.0,0.0,7.854,19.634,7.854,0.0,0.0,0.0,0.0,0.0,0.0,11.78,0.0,3.927,0.0,0.0,7.854,3.848,6.157,5.768,3.636,2.054
1,3.035,3.035,0.0,0.0,0.0,3.035,3.035,3.035,3.035,6.07,0.0,12.14,3.035,0.0,6.07,6.07,0.0,6.07,3.035,0.0,11.342,5.369,8.735,7.348,6.507
1,0.0,3.035,3.035,0.0,0.0,3.035,0.0,6.069,0.0,15.173,6.069,6.069,0.0,0.0,9.104,0.0,0.0,3.035,3.035,3.035,6.09,8.184,7.24,8.585,9.21
1,0.0,8.113,0.0,2.704,0.0,5.409,0.0,10.817,0.0,2.704,5.409,10.817,0.0,0.0,2.704,0.0,0.0,2.704,2.704,0.0,9.66,8.043,8.546,10.514,9.151
