label,MW,Charge,ChargeDensity,pI,InstabilityInd,Aromaticity,AliphaticInd,BomanInd,HydrophRatio
1,2149.2599999999998,-4.162,-0.001936480463043094,3.5478515625,84.41,0.05,64.0,1.7289999999999996,0.45
1,2184.47,-1.082,-0.000495314652982188,6.05078125,3.600000000000001,0.05,83.0,1.334,0.45
1,2174.49,-1.122,-0.0005159830580963814,5.171875,47.635,0.05,102.0,0.25800000000000006,0.45
1,2137.38,-2.163,-0.001011986637846335,3.6875,60.535000000000004,0.0,97.0,1.2365,0.4
1,2006.23,-1.012,-0.000504428704585217,4.322265625,7.535000000000001,0.1,73.5,0.3124999999999999,0.4
1,2170.31,-1.008,-0.00046444977906382037,4.6845703125,33.894999999999996,0.0,73.5,3.679,0.4
1,2012.23,-1.009,-0.0005014337327243903,4.322265625,23.455,0.0,117.0,0.9730000000000001,0.5
1,2005.24,-0.01,-4.986934232311344e-06,6.8125,5.739999999999999,0.05,88.0,0.6155000000000002,0.4
1,2095.31,2.875,0.0013721120025199135,10.4453125,49.19,0.15,24.5,1.2785,0.25
1,2198.61,4.989,0.0022691609698855184,13.80078125,-5.865,0.05,78.0,2.0449999999999995,0.35
1,1954.25,2.99,0.0015299987207368557,13.70703125,21.409999999999997,0.0,78.0,1.0105,0.25
1,2395.71,3.877,0.00161830939470971,11.392578125,55.98500000000001,0.05,68.5,3.465,0.3
1,2305.71,2.031,0.0008808566558673901,11.400390625,17.769999999999996,0.05,107.0,1.0665,0.45
1,2146.4,2.874,0.0013389862094670146,10.11669921875,45.52,0.05,29.5,2.2515,0.25
1,2290.54,-0.014,-6.112095837662735e-06,6.875,62.785500000000006,0.15,78.0,1.714,0.35
1,1935.07,-1.011,-0.0005224617197310691,4.451171875,58.325,0.05,79.0,1.0814999999999997,0.5
1,2264.7,1.834,0.0008098202852474943,9.671875,53.580000000000005,0.1,63.5,0.7105,0.4
1,2173.62,2.72,0.0012513686844986705,9.6318359375,72.685,0.1,93.0,0.00799999999999972,0.5
1,1873.1299999999999,1.989,0.0010618590274033303,12.84375,30.685000000000002,0.1,78.5,-0.5155000000000001,0.55
1,2170.52,-0.926,-0.00042662587766986715,6.05419921875,98.88,0.0,122.0,0.3065,0.35
1,1954.16,-0.009,-4.605559421951119e-06,6.9375,104.86,0.0,49.5,1.315,0.35
1,2296.54,-4.008,-0.0017452341348289165,3.5478515625,100.45999999999998,0.1,87.5,0.884,0.35
1,2154.44,0.991,0.0004599803197118509,10.490234375,26.605,0.05,93.0,2.2505,0.4
1,2094.31,3.073,0.001467309042118884,12.1298828125,13.645000000000003,0.0,10.0,3.0389999999999993,0.1
1,2418.82,-0.97,-0.00040102198592702226,5.3408203125,19.494999999999997,0.1,136.5,1.283499999999999,0.5
1,2024.37,-1.163,-0.0005744997209008235,4.14990234375,37.33,0.05,117.5,-0.5760000000000001,0.65
1,2254.47,0.988,0.0004382404733706814,9.7353515625,39.254999999999995,0.15,58.5,1.8205000000000002,0.3
1,1919.16,2.99,0.0015579732799766565,12.39990234375,87.17999999999999,0.0,73.5,1.7885000000000002,0.35
1,1988.19,-1.01,-0.0005079997384555802,3.9296875,27.58,0.0,83.0,0.8934999999999998,0.35
1,2223.44,0.879,0.0003953333573201885,8.76171875,98.07,0.0,68.5,3.0625,0.3
1,2339.79,1.988,0.0008496489001149676,10.4248046875,32.800000000000004,0.05,161.0,1.2319999999999998,0.5
1,2141.46,0.985,0.0004599665648669599,9.4765625,22.04,0.15,102.5,-0.22599999999999992,0.55
1,2092.39,0.989,0.00047266522971338995,9.650390625,-12.690000000000001,0.05,53.5,1.6985000000000003,0.35
1,2218.39,-0.012,-5.409328386803043e-06,6.875,17.475000000000005,0.15,68.5,1.6549999999999994,0.4
1,2125.37,-0.968,-0.0004554501098632238,5.130859375,-2.6549999999999994,0.0,102.5,1.4385,0.45
1,2062.3,0.987,0.00047859186345342573,9.650390625,14.69,0.1,83.0,0.6099999999999999,0.45
1,2287.63,1.724,0.000753618373600626,8.9482421875,30.895,0.15,63.5,0.6435,0.45
1,2178.54,-0.01,-4.590230154139929e-06,6.875,27.424999999999997,0.1,73.5,0.7135,0.45
1,2187.43,1.876,0.0008576274440782105,9.7470703125,24.000000000000004,0.05,5.0,3.3365,0.2
1,2261.65,1.833,0.0008104702319103309,9.556640625,-14.320000000000002,0.1,102.5,0.8554999999999999,0.4
1,2195.45,0.721,0.0003284064770320436,8.09375,42.72500000000001,0.1,58.5,1.984,0.35
1,2334.62,-0.168,-7.196031902408102e-05,6.3125,46.335,0.15,58.5,1.7045000000000001,0.25
1,2145.6,1.681,0.0007834638329604773,8.9296875,16.069999999999997,0.1,117.0,-1.043,0.45
1,2268.58,1.679,0.000740110553738462,8.8759765625,11.755499999999998,0.3,39.5,-0.3925000000000002,0.45
1,2144.54,5.681,0.002649052943754838,12.115234375,70.13,0.0,82.5,2.811,0.45
1,2175.52,2.835,0.0013031367213355888,10.7109375,43.510000000000005,0.1,83.0,0.5209999999999999,0.35
1,2268.75,2.527,0.0011138292011019285,9.00439453125,35.470000000000006,0.0,73.0,2.0345,0.4
1,2201.81,3.526,0.0016014097492517518,9.71142578125,-7.699999999999998,0.0,126.5,0.14700000000000002,0.5
1,2528.94,1.68,0.0006643099480414719,8.86181640625,63.375000000000014,0.15,24.5,3.0060000000000002,0.3
1,2353.68,-4.122,-0.0017513000917711839,3.87939453125,97.19,0.05,63.5,1.4700000000000002,0.4
1,1925.08,0.032,1.6622685810459825e-05,7.703125,-3.0349999999999984,0.0,78.5,1.6500000000000004,0.4
1,2246.46,-3.967,-0.00176588944383608,3.85205078125,42.475,0.05,83.0,1.975,0.4
1,2143.28,-2.012,-0.0009387480870441565,3.81640625,25.545,0.1,58.5,1.9075,0.2
1,2381.65,0.986,0.0004139986983813742,9.47314453125,69.99000000000001,0.15,58.5,2.8075,0.2
1,2179.4,-0.968,-0.0004441589428283013,5.390625,25.08,0.0,92.5,2.0985,0.3
1,2317.74,3.986,0.001719778749989214,10.7646484375,3.325000000000001,0.15,78.0,0.8395000000000004,0.25
1,1995.19,0.032,1.603857276750585e-05,7.7109375,17.949999999999996,0.0,68.5,1.0485000000000002,0.35
1,2245.53,1.836,0.0008176243470361117,9.8486328125,76.41,0.0,63.5,3.4715,0.3
1,2138.31,-0.009,-4.208931352329643e-06,7.03125,43.525000000000006,0.0,73.5,3.3385000000000007,0.4
1,2192.58,3.988,0.0018188617975170803,11.4951171875,40.895,0.0,107.0,2.4475,0.4
1,2042.16,-1.122,-0.0005494182630156305,5.23046875,38.660000000000004,0.0,58.5,2.4635,0.3
1,2088.3,1.029,0.0004927452952162045,9.6474609375,0.33000000000000007,0.15,49.5,1.2865000000000004,0.45
1,2355.68,0.03,1.2735176254839367e-05,7.671875,49.35,0.1,78.0,1.6854999999999998,0.25
1,2311.39,-3.007,-0.001300948779738599,4.2216796875,87.435,0.0,39.0,5.5315,0.1
1,2136.34,-0.925,-0.00043298351386015333,6.064453125,16.035000000000004,0.05,68.5,1.3835000000000002,0.35
1,2003.23,-1.08,-0.0005391293061705346,6.0478515625,54.27,0.05,73.0,0.37600000000000006,0.4
1,2100.22,0.03,1.4284217843844931e-05,7.671875,20.540000000000003,0.05,63.5,1.786,0.3
1,1945.05,-1.01,-0.000519266856893139,3.9296875,70.57,0.0,34.5,1.6684999999999999,0.2
1,2104.48,-0.012,-5.702121189082339e-06,6.625,49.17,0.05,141.5,0.02350000000000012,0.55
1,2256.4,-2.924,-0.0012958695266796667,4.64306640625,22.705000000000002,0.05,63.5,2.3855000000000004,0.3
1,2210.42,-1.925,-0.000870875218284308,5.2216796875,22.705000000000002,0.05,88.0,1.5799999999999998,0.4
1,2093.29,0.836,0.0003993713245656359,8.7421875,10.64,0.05,44.5,2.7824999999999998,0.4
1,2291.53,-0.01,-4.363896610561502e-06,7.0,-20.23,0.05,63.5,3.2670000000000003,0.3
1,2519.74,-0.97,-0.0003849603530522991,5.400390625,42.95,0.1,68.0,4.391,0.25
1,2304.61,0.988,0.00042870594156928937,9.64453125,51.87000000000001,0.1,93.0,2.1795,0.4
1,2214.48,-1.014,-0.0004578953072504606,4.17236328125,32.61000000000001,0.15,97.5,0.6700000000000002,0.35
1,2315.25,-6.881,-0.0029720332577475436,4.036865234375,46.4,0.0,44.0,4.211499999999999,0.25
1,2397.69,-3.009,-0.0012549578969758392,3.929931640625,24.145000000000003,0.05,82.5,2.7785,0.4
1,2136.42,-1.01,-0.00047275348480167755,3.9296875,26.13,0.05,68.5,0.9644999999999999,0.4
1,1976.12,-1.009,-0.000510596522478392,4.150390625,101.55499999999999,0.0,54.0,1.2440000000000002,0.35
1,2469.92,5.028,0.0020356934637559107,11.146484375,29.01499999999999,0.15,44.0,2.0734999999999997,0.2
1,2318.86,2.987,0.0012881329618864442,10.80419921875,91.1,0.1,151.0,-0.15400000000000008,0.4
1,2385.78,4.987,0.0020903017042644334,11.06982421875,53.71000000000001,0.1,58.5,3.4295,0.15
1,2232.5099999999998,1.988,0.0008904775342551658,10.23193359375,84.445,0.05,73.0,2.4194999999999998,0.2
1,2515.79,-0.24,-9.539746958211933e-05,7.0810546875,59.165000000000006,0.2,58.5,1.9614999999999998,0.3
1,2358.57,-3.011,-0.0012766210034046053,3.929931640625,26.915,0.15,87.5,2.273,0.35
1,2224.53,1.99,0.0008945709880289319,11.115234375,57.955000000000005,0.05,92.5,2.482,0.25
1,2325.74,-0.318,-0.0001367306749679672,6.140625,-1.6349999999999985,0.1,83.0,0.7884999999999999,0.5
1,2176.44,1.988,0.0009134182426347613,10.98046875,24.119999999999997,0.05,117.0,1.8575,0.35
1,2447.91,4.986,0.0020368395896907974,11.146484375,52.760000000000005,0.15,44.0,1.9274999999999995,0.2
1,2195.24,0.99,0.0004509757475264664,10.013671875,6.715,0.0,44.0,4.4445,0.25
1,2479.82,-1.968,-0.000793605987531353,4.4208984375,51.81,0.1,63.0,1.9950000000000003,0.4
1,2479.82,-1.968,-0.000793605987531353,4.4208984375,51.81,0.1,63.0,1.9950000000000003,0.4
1,2220.5,0.074,3.332582751632515e-05,7.84375,34.145,0.05,88.0,1.4825,0.4
1,2156.56,0.876,0.0004062024706013281,8.6953125,60.845000000000006,0.15,88.0,-0.5925,0.5
1,2170.57,0.722,0.00033263152075261335,8.09375,70.475,0.1,93.0,-0.05750000000000011,0.5
1,2573.02,4.032,0.0015670301824315396,11.315673828125,127.66,0.0,102.5,4.645,0.3
1,2398.77,-1.122,-0.00046773971660475996,5.3388671875,74.21500000000002,0.05,92.5,1.750999999999999,0.35
1,2203.23,-2.165,-0.0009826482028657926,4.249755859375,46.02,0.05,19.5,4.667500000000001,0.15
1,2539.94,4.032,0.0015874390733639377,12.115234375,66.92,0.1,97.5,3.670499999999999,0.4
1,2426.74,-1.967,-0.0008105524283606815,4.66259765625,5.0600000000000005,0.05,63.5,2.5655,0.35
1,2403.68,-1.925,-0.0008008553551221462,5.28515625,18.46,0.05,78.0,2.4370000000000003,0.35
1,2271.69,3.835,0.0016881704810075319,10.67626953125,52.235,0.0,97.5,2.389499999999999,0.4
1,2232.64,0.988,0.00044252544073383976,9.650390625,53.580000000000005,0.1,83.0,0.11449999999999987,0.4
1,2264.7,1.834,0.0008098202852474943,9.671875,53.580000000000005,0.1,63.5,0.7105,0.4
1,2268.43,-2.082,-0.0009178154053684707,5.0654296875,55.61,0.1,53.5,1.7675000000000005,0.3
1,2372.66,-1.01,-0.00042568256724520164,4.322265625,25.189999999999998,0.1,77.5,1.6909999999999996,0.35
1,2400.78,0.985,0.00041028332458617614,9.40185546875,23.4655,0.2,97.5,1.0465000000000002,0.4
1,2427.67,-2.016,-0.0008304258816066434,3.81640625,24.440499999999997,0.25,83.0,1.3335000000000001,0.35
1,2388.61,-4.011,-0.0016792192949037306,3.929931640625,37.434999999999995,0.1,63.5,2.932,0.3
1,2145.39,0.985,0.0004591239821198011,9.40185546875,-16.354999999999997,0.15,63.5,1.348,0.3
1,2349.48,-1.014,-0.00043158486133101795,4.322265625,-22.535000000000004,0.2,39.0,2.1550000000000002,0.15
1,2371.57,-1.928,-0.0008129635642211699,5.205078125,22.67,0.1,83.0,2.5255,0.3
1,2424.98,3.99,0.0016453743948403698,12.41162109375,56.614999999999995,0.1,102.5,1.6179999999999997,0.5
1,2605.03,-0.164,-6.29551291155956e-05,6.4375,34.45,0.15,73.0,2.733,0.4
1,2478.83,-0.968,-0.0003905068116813174,5.3046875,45.64,0.1,63.0,1.8909999999999996,0.4
1,2494.79,-1.967,-0.0007884431154526033,4.52099609375,45.64,0.1,43.5,2.4775,0.35
1,2455.69,-0.931,-0.00037911951427093814,6.0615234375,68.93,0.25,39.0,1.9959999999999998,0.25
1,2272.49,3.031,0.0013337792465533405,13.55859375,46.85,0.1,53.5,2.4329999999999994,0.2
1,2486.79,1.986,0.0007986199075917147,9.96923828125,43.4055,0.2,39.0,3.6049999999999995,0.25
1,2379.77,1.989,0.0008357950558247226,10.41064453125,27.415,0.15,83.0,1.9464999999999997,0.4
1,1925.08,0.032,1.6622685810459825e-05,7.703125,-3.0349999999999984,0.0,78.5,1.6500000000000004,0.4
1,1956.09,1.032,0.0005275830866677914,10.013671875,10.840000000000003,0.0,64.0,2.0934999999999997,0.35
1,1972.3899999999999,2.987,0.0015144063800769626,10.8359375,-5.555,0.05,146.0,-1.0235000000000003,0.5
1,2092.35,0.99,0.00047315219729012837,10.013671875,60.44,0.05,68.5,1.5574999999999997,0.4
1,2018.22,-1.01,-0.000500440982648076,3.9296875,21.41,0.0,83.0,1.1104999999999998,0.35
1,2014.47,2.987,0.0014827721435414774,10.8359375,-15.970000000000002,0.05,160.5,-1.1785000000000003,0.55
1,2131.57,1.681,0.0007886205942099016,8.9296875,22.24,0.1,117.0,-0.9880000000000002,0.45
1,1730.94,1.99,0.001149664344229147,12.1005859375,82.435,0.0,68.5,0.5870000000000003,0.35
1,1830.0,-1.166,-0.0006371584699453552,3.9296875,21.04,0.05,59.0,0.0915,0.4
1,2364.58,-0.32,-0.00013533058725016705,5.984375,15.4755,0.3,19.5,1.037,0.35
1,2294.67,3.989,0.0017383763242644912,11.39013671875,53.71,0.05,78.0,3.069,0.2
1,2132.48,2.679,0.001256283763505402,9.6318359375,40.395,0.15,54.0,0.5315000000000001,0.45
1,2147.38,-4.009,-0.0018669262077508407,3.10791015625,35.605000000000004,0.1,54.0,1.1790000000000003,0.5
1,1514.7,0.99,0.00065359477124183,12.25,69.59500000000001,0.0,68.5,-1.4345000000000003,0.4
1,1708.97,0.99,0.0005792963012808885,12.25,52.65500000000001,0.1,73.0,-1.707,0.4
1,2384.59,-0.011,-4.6129523314280436e-06,6.9375,73.375,0.15,39.0,3.4540000000000006,0.2
1,2456.83,2.985,0.0012149802794658158,10.283203125,28.385,0.15,68.0,2.8289999999999997,0.25
1,2046.4,0.99,0.00048377638780297105,10.025390625,18.925000000000004,0.2,73.0,-0.9774999999999998,0.45
1,1800.0,-0.01,-5.555555555555556e-06,6.5,49.19500000000001,0.15,53.5,-1.1420000000000001,0.3
1,1906.12,-0.012,-6.295511300442785e-06,6.5,43.025000000000006,0.2,53.5,-1.088,0.3
1,1952.1399999999999,-1.012,-0.0005184054422326268,3.7099609375,25.879999999999995,0.2,63.0,-0.7634999999999996,0.3
1,1982.17,-1.012,-0.0005105515672217822,3.7099609375,19.709999999999997,0.2,63.0,-0.5464999999999998,0.3
1,2459.75,1.986,0.0008073991259274317,10.05712890625,54.115,0.2,39.0,3.228,0.2
