label,APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30
1,15.346,0.0,15.346,0.0,0.0,15.346,0.0,0.0,0.0,0.0,0.0,0.0,7.672,7.672,15.346,15.346,7.672,0.0,0.0,0.0,1.322,0.923,0.284,-0.14,-0.489,-1.162,-0.559,-0.03,-0.05,0.155
1,50.867,0.0,16.956,0.0,0.0,0.0,0.0,0.0,33.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.773,0.01,-0.3,0.0,0.804,0.02,-0.687,0.046,-0.89,0.036
1,11.496,0.0,17.245,11.496,11.496,11.496,5.749,0.0,0.0,0.0,0.0,5.749,0.0,0.0,0.0,11.496,0.0,0.0,0.0,0.0,0.793,1.065,1.91,1.854,0.867,2.069,1.608,2.552,0.707,0.349
1,8.491,8.491,0.0,0.0,8.491,16.984,8.491,8.491,0.0,0.0,8.491,8.491,0.0,16.984,0.0,0.0,0.0,0.0,0.0,8.491,-0.729,-0.464,-0.846,-1.034,0.917,3.307,0.413,0.667,-1.875,-2.257
1,13.027,0.0,0.0,6.514,0.0,6.514,6.514,32.568,0.0,0.0,0.0,0.0,0.0,0.0,32.568,0.0,0.0,0.0,0.0,0.0,-0.469,0.147,-0.039,0.244,0.405,0.332,-0.386,0.293,0.205,1.563
1,8.472,12.709,8.472,12.709,0.0,4.236,8.472,8.472,0.0,4.236,0.0,0.0,0.0,0.0,0.0,4.236,4.236,0.0,8.472,0.0,0.508,1.004,3.444,0.987,1.279,1.745,1.631,2.232,1.783,0.661
1,6.91,13.819,0.0,6.91,0.0,6.91,0.0,6.91,0.0,0.0,6.91,0.0,0.0,6.91,6.91,20.73,0.0,6.91,0.0,13.819,-1.456,-0.736,-1.783,-1.783,0.047,1.119,1.363,-0.803,0.005,0.378
1,6.426,19.278,0.0,6.426,0.0,6.426,0.0,6.426,0.0,0.0,6.426,0.0,0.0,6.426,6.426,19.278,0.0,6.426,0.0,12.852,-1.188,-0.524,-2.678,-2.175,-0.463,1.105,4.128,0.53,-1.342,-0.211
1,27.911,0.0,0.0,0.0,0.0,9.304,9.304,18.607,0.0,0.0,9.304,0.0,0.0,18.607,0.0,9.304,0.0,0.0,0.0,0.0,-0.307,-1.428,2.093,1.346,-1.3,-1.433,0.599,0.097,-0.486,-1.52
1,7.138,0.0,0.0,0.0,0.0,14.277,7.138,14.277,0.0,0.0,7.138,7.138,0.0,7.138,0.0,7.138,14.277,0.0,0.0,14.277,-0.49,-1.189,0.974,0.974,0.655,1.869,-2.818,-2.823,0.824,2.089
1,12.64,4.214,4.214,0.0,0.0,4.214,0.0,4.214,8.427,12.64,8.427,4.214,4.214,8.427,8.427,4.214,4.214,0.0,8.427,0.0,-1.507,-0.485,0.506,-0.046,2.012,0.718,-1.962,-1.876,1.355,0.162
1,16.974,16.974,8.487,8.487,0.0,0.0,0.0,8.487,0.0,16.974,0.0,0.0,0.0,16.974,8.487,0.0,0.0,0.0,0.0,0.0,0.3,1.395,-2.001,-1.482,-2.806,-2.047,-0.968,1.039,4.298,0.428
1,14.437,14.437,7.219,0.0,0.0,7.219,0.0,0.0,0.0,21.657,7.219,0.0,0.0,0.0,0.0,14.437,14.437,0.0,0.0,7.219,-0.254,0.319,0.682,-0.368,-1.613,-1.104,-2.848,-1.056,-1.597,-0.444
1,20.591,6.864,6.864,0.0,0.0,20.591,0.0,6.864,6.864,6.864,6.864,0.0,0.0,0.0,0.0,0.0,20.591,0.0,0.0,0.0,-0.896,-1.189,0.643,2.404,-2.476,-1.668,1.508,1.575,-1.606,-1.251
1,38.802,0.0,7.76,7.76,0.0,0.0,0.0,23.281,0.0,0.0,0.0,15.521,0.0,0.0,7.76,0.0,0.0,0.0,0.0,0.0,-0.308,1.17,-1.579,-0.383,0.353,0.141,-0.898,0.368,-0.172,0.424
1,7.972,0.0,0.0,15.944,0.0,7.972,7.972,7.972,0.0,0.0,15.944,7.972,15.944,7.972,0.0,7.972,7.972,0.0,0.0,0.0,1.802,2.612,-0.887,-0.932,-3.387,-3.32,-2.907,-3.594,-0.134,-0.859
1,11.865,29.662,5.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.73,0.0,0.0,0.0,5.933,5.933,0.0,0.0,0.0,5.933,3.284,1.184,-5.402,-2.185,-5.188,-2.105,4.65,1.531,10.461,4.783
1,6.906,6.906,0.0,6.906,13.81,6.906,6.906,0.0,0.0,6.906,6.906,0.0,20.716,0.0,13.81,0.0,6.906,0.0,0.0,0.0,-0.078,-0.829,0.078,1.621,-0.181,-0.445,-2.009,-0.544,-0.792,-0.399
1,27.53,0.0,6.883,13.765,0.0,6.883,6.883,6.883,0.0,6.883,0.0,0.0,0.0,6.883,0.0,13.765,6.883,0.0,0.0,0.0,-1.363,-1.409,-1.099,0.052,2.173,1.812,-1.399,-0.862,-0.336,-0.805
1,24.049,0.0,8.016,16.033,0.0,0.0,0.0,0.0,8.016,0.0,0.0,8.016,0.0,8.016,8.016,0.0,8.016,0.0,0.0,8.016,0.688,-0.221,0.962,2.751,-0.433,-0.197,-0.649,-0.135,0.832,0.207
1,8.264,16.529,8.264,0.0,0.0,8.264,8.264,0.0,8.264,0.0,24.793,8.264,0.0,8.264,0.0,8.264,0.0,0.0,0.0,0.0,-1.45,-2.229,0.043,-0.193,-0.543,1.187,-1.219,-0.843,-1.665,-0.521
1,8.087,16.175,0.0,0.0,0.0,0.0,16.175,0.0,0.0,0.0,0.0,0.0,8.087,0.0,16.175,24.262,8.087,0.0,0.0,8.087,0.305,0.032,1.619,0.631,-1.383,-0.636,-0.221,0.247,-4.09,-1.64
1,13.386,20.078,0.0,13.386,0.0,6.692,6.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.692,6.692,0.0,13.386,0.248,-0.139,1.24,0.787,3.11,4.215,-2.597,-2.567,5.399,3.298
1,7.803,7.803,0.0,0.0,0.0,0.0,7.803,0.0,0.0,7.803,7.803,7.803,7.803,0.0,39.018,0.0,7.803,0.0,0.0,0.0,-0.695,-0.107,-3.338,-1.892,-0.299,0.051,1.238,0.482,2.333,0.781
