label,PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25
1,12.092,0.0,12.092,0.0,0.0,12.092,0.0,0.0,0.0,0.0,0.0,0.0,6.046,6.046,12.092,12.092,6.046,0.0,0.0,0.0,3.156,4.818,4.303,4.425,4.704
1,38.861,0.0,12.954,0.0,0.0,0.0,0.0,0.0,25.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.135,4.473,3.012,5.732,4.928
1,10.796,0.0,16.195,10.796,10.796,10.796,5.399,0.0,0.0,0.0,0.0,5.399,0.0,0.0,0.0,10.796,0.0,0.0,0.0,0.0,4.688,3.798,3.178,2.397,4.964
1,4.911,4.911,0.0,0.0,4.911,9.822,4.911,4.911,0.0,0.0,4.911,4.911,0.0,9.822,0.0,0.0,0.0,0.0,0.0,4.911,7.013,9.067,7.478,7.643,9.868
1,10.718,0.0,0.0,5.359,0.0,5.359,5.359,26.795,0.0,0.0,0.0,0.0,0.0,0.0,26.795,0.0,0.0,0.0,0.0,0.0,4.916,4.051,1.982,4.791,3.875
1,6.469,9.703,6.469,9.703,0.0,3.234,6.469,6.469,0.0,3.234,0.0,0.0,0.0,0.0,0.0,3.234,3.234,0.0,6.469,0.0,8.468,5.913,7.417,6.304,7.21
1,3.791,7.581,0.0,3.791,0.0,3.791,0.0,3.791,0.0,0.0,3.791,0.0,0.0,3.791,3.791,11.372,0.0,3.791,0.0,7.581,9.967,7.727,9.333,6.274,9.839
1,3.461,10.383,0.0,3.461,0.0,3.461,0.0,3.461,0.0,0.0,3.461,0.0,0.0,3.461,3.461,10.383,0.0,3.461,0.0,6.922,9.879,8.453,10.032,5.601,10.657
1,18.731,0.0,0.0,0.0,0.0,6.244,6.244,12.487,0.0,0.0,6.244,0.0,0.0,12.487,0.0,6.244,0.0,0.0,0.0,0.0,7.668,3.606,6.349,8.015,5.683
1,5.072,0.0,0.0,0.0,0.0,10.144,5.072,10.144,0.0,0.0,5.072,5.072,0.0,5.072,0.0,5.072,10.144,0.0,0.0,10.144,5.883,4.708,4.917,8.691,4.796
1,8.492,2.831,2.831,0.0,0.0,2.831,0.0,2.831,5.661,8.492,5.661,2.831,2.831,5.661,5.661,2.831,2.831,0.0,5.661,0.0,7.249,6.196,5.34,7.874,5.401
1,9.491,9.491,4.745,4.745,0.0,0.0,0.0,4.745,0.0,9.491,0.0,0.0,0.0,9.491,4.745,0.0,0.0,0.0,0.0,0.0,8.115,10.068,9.681,10.068,5.122
1,8.321,8.321,4.161,0.0,0.0,4.161,0.0,0.0,0.0,12.481,4.161,0.0,0.0,0.0,0.0,8.321,8.321,0.0,0.0,4.161,6.793,7.32,7.08,8.0,8.4
1,13.667,4.556,4.556,0.0,0.0,13.667,0.0,4.556,4.556,4.556,4.556,0.0,0.0,0.0,0.0,0.0,13.667,0.0,0.0,0.0,6.557,3.417,8.576,4.842,8.272
1,28.167,0.0,5.633,5.633,0.0,0.0,0.0,16.9,0.0,0.0,0.0,11.267,0.0,0.0,5.633,0.0,0.0,0.0,0.0,0.0,5.119,6.712,3.808,6.042,5.086
1,4.755,0.0,0.0,9.51,0.0,4.755,4.755,4.755,0.0,0.0,9.51,4.755,9.51,4.755,0.0,4.755,4.755,0.0,0.0,0.0,3.721,7.003,8.078,8.408,6.221
1,7.591,18.979,3.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.183,0.0,0.0,0.0,3.796,3.796,0.0,0.0,0.0,3.796,7.789,13.724,13.699,5.776,2.075
1,4.689,4.689,0.0,4.689,9.377,4.689,4.689,0.0,0.0,4.689,4.689,0.0,14.066,0.0,9.377,0.0,4.689,0.0,0.0,0.0,5.865,4.607,5.911,7.029,6.259
1,19.164,0.0,4.791,9.581,0.0,4.791,4.791,4.791,0.0,4.791,0.0,0.0,0.0,4.791,0.0,9.581,4.791,0.0,0.0,0.0,7.06,5.803,2.824,7.086,5.365
1,18.001,0.0,6.0,12.001,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,6.0,5.897,4.749,5.58,5.875,5.897
1,4.798,9.596,4.798,0.0,0.0,4.798,4.798,0.0,4.798,0.0,14.393,4.798,0.0,4.798,0.0,4.798,0.0,0.0,0.0,0.0,8.726,6.702,6.537,7.815,7.849
1,5.497,10.994,0.0,0.0,0.0,0.0,10.994,0.0,0.0,0.0,0.0,0.0,5.497,0.0,10.994,16.491,5.497,0.0,0.0,5.497,6.564,3.173,5.192,5.32,8.293
1,8.709,13.063,0.0,8.709,0.0,4.354,4.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.354,4.354,0.0,8.709,9.595,8.497,7.226,11.29,6.787
1,5.799,5.799,0.0,0.0,0.0,0.0,5.799,0.0,0.0,5.799,5.799,5.799,5.799,0.0,28.998,0.0,5.799,0.0,0.0,0.0,6.695,6.876,4.784,3.453,2.797
1,5.574,5.574,5.574,5.574,0.0,11.148,5.574,0.0,0.0,11.148,0.0,5.574,0.0,0.0,11.148,5.574,0.0,0.0,0.0,0.0,4.884,6.481,5.539,5.942,4.695
1,12.11,0.0,12.11,6.055,0.0,6.055,6.055,0.0,0.0,0.0,0.0,12.11,0.0,0.0,0.0,6.055,6.055,0.0,6.055,0.0,6.194,4.894,5.806,4.908,5.537
1,4.383,4.383,0.0,4.383,0.0,0.0,13.149,8.766,0.0,4.383,4.383,0.0,0.0,0.0,0.0,8.766,8.766,0.0,0.0,8.766,5.87,5.042,5.743,5.708,7.511
1,12.906,0.0,0.0,6.453,0.0,12.906,0.0,0.0,0.0,0.0,19.36,0.0,6.453,0.0,0.0,6.453,6.453,0.0,0.0,0.0,5.555,6.35,4.185,6.073,6.854
1,4.873,0.0,4.873,4.873,0.0,9.746,0.0,0.0,0.0,0.0,0.0,0.0,9.746,4.873,0.0,9.746,4.873,0.0,4.873,14.619,5.844,6.681,5.566,4.601,4.21
1,3.667,3.667,3.667,7.333,0.0,3.667,0.0,11.0,0.0,3.667,0.0,3.667,3.667,0.0,3.667,3.667,7.333,0.0,3.667,3.667,5.049,6.428,7.834,8.257,6.432
1,11.583,0.0,5.791,0.0,0.0,5.791,0.0,0.0,0.0,5.791,0.0,11.583,0.0,0.0,5.791,17.374,5.791,0.0,0.0,5.791,4.502,6.362,3.87,3.38,6.599
1,12.433,4.144,0.0,0.0,0.0,4.144,0.0,0.0,4.144,0.0,0.0,8.289,4.144,0.0,0.0,0.0,16.578,0.0,4.144,8.289,4.377,6.704,6.813,7.483,8.312
1,8.985,0.0,4.493,8.985,0.0,13.477,4.493,0.0,0.0,8.985,4.493,4.493,0.0,0.0,0.0,0.0,0.0,0.0,4.493,4.493,7.008,10.323,5.064,3.177,7.042
1,5.265,5.265,0.0,0.0,5.265,10.53,5.265,0.0,0.0,0.0,10.53,0.0,0.0,5.265,5.265,5.265,10.53,0.0,0.0,0.0,7.539,6.975,6.444,4.045,6.55
1,0.0,0.0,14.836,9.891,9.891,4.945,4.945,4.945,0.0,0.0,4.945,0.0,0.0,0.0,0.0,0.0,4.945,4.945,0.0,4.945,6.152,6.103,5.743,7.263,5.504
1,0.0,0.0,0.0,10.525,5.262,10.525,0.0,10.525,5.262,0.0,5.262,0.0,0.0,5.262,5.262,0.0,5.262,0.0,0.0,5.262,5.408,8.069,6.365,7.06,4.689
1,0.0,8.525,4.262,0.0,4.262,8.525,4.262,4.262,0.0,0.0,0.0,0.0,4.262,4.262,8.525,0.0,0.0,4.262,4.262,0.0,9.174,4.863,9.628,6.922,9.741
1,5.336,0.0,10.672,0.0,10.672,0.0,0.0,16.007,0.0,0.0,5.336,0.0,5.336,5.336,10.672,0.0,0.0,0.0,5.336,0.0,6.547,3.488,5.046,3.253,6.966
1,5.628,5.628,0.0,5.628,11.257,5.628,0.0,5.628,11.257,0.0,0.0,0.0,5.628,0.0,5.628,5.628,5.628,0.0,0.0,0.0,6.0,6.874,4.16,4.354,5.44
1,0.0,4.854,0.0,4.854,9.707,9.707,24.269,0.0,0.0,0.0,0.0,9.707,0.0,0.0,0.0,0.0,0.0,0.0,4.854,4.854,5.821,6.924,4.033,4.23,6.185
1,0.0,0.0,0.0,0.0,6.672,6.672,0.0,26.688,0.0,0.0,0.0,0.0,0.0,0.0,46.705,0.0,0.0,0.0,0.0,0.0,3.192,3.483,1.019,2.914,2.654
1,14.366,0.0,0.0,0.0,7.183,0.0,7.183,0.0,0.0,7.183,0.0,7.183,0.0,0.0,7.183,21.549,7.183,0.0,0.0,0.0,3.473,3.899,4.057,4.847,4.713
1,3.765,11.296,11.296,0.0,3.765,0.0,0.0,0.0,3.765,3.765,3.765,0.0,0.0,0.0,0.0,7.53,0.0,3.765,3.765,3.765,6.627,8.112,7.88,9.217,7.922
