label,pssm_avg_A,pssm_avg_R,pssm_avg_N,pssm_avg_D,pssm_avg_C,pssm_avg_Q,pssm_avg_E,pssm_avg_G,pssm_avg_H,pssm_avg_I,pssm_avg_L,pssm_avg_K,pssm_avg_M,pssm_avg_F,pssm_avg_P,pssm_avg_S,pssm_avg_T,pssm_avg_W,pssm_avg_Y,pssm_avg_V,pssm_sum_A,pssm_sum_R,pssm_sum_N,pssm_sum_D,pssm_sum_C,pssm_sum_Q,pssm_sum_E,pssm_sum_G,pssm_sum_H,pssm_sum_I,pssm_sum_L,pssm_sum_K,pssm_sum_M,pssm_sum_F,pssm_sum_P,pssm_sum_S,pssm_sum_T,pssm_sum_W,pssm_sum_Y,pssm_sum_V,pssm_std_A,pssm_std_R,pssm_std_N,pssm_std_D,pssm_std_C,pssm_std_Q,pssm_std_E,pssm_std_G,pssm_std_H,pssm_std_I,pssm_std_L,pssm_std_K,pssm_std_M,pssm_std_F,pssm_std_P,pssm_std_S,pssm_std_T,pssm_std_W,pssm_std_Y,pssm_std_V,pssm_overall_avg,pssm_overall_std
1,-1,-7.416666667,-3.666666667,-4.166666667,-7.25,-6.5,-4.166666667,0.666666667,-8.166666667,-5.25,-7,-6.75,-5.5,-7.333333333,-5.5,-2.166666667,-3.75,-13.66666667,-10.5,-2.916666667,-12,-89,-44,-50,-87,-78,-50,8,-98,-63,-84,-81,-66,-88,-66,-26,-45,-164,-126,-35,3.541956316,2.065224326,1.874873733,1.94624736,2.00567377,1.381698559,1.337115847,7.253003558,1.267304465,7.747433593,3.741657387,1.138180366,3,2.640018365,2.393172106,3.537676005,2.454124543,2.839120649,3.705033431,4.420167281,-5.6,4.595106092
1,-3.769230769,-5.615384615,-2.230769231,-3.615384615,-9.307692308,-3.923076923,-3.307692308,-6.307692308,-4.923076923,-2.769230769,-5.692307692,-3.769230769,-4.923076923,-9.461538462,-6,-4,-3.769230769,-12.23076923,-7.307692308,-4.153846154,-49,-73,-29,-47,-121,-51,-43,-82,-64,-36,-74,-49,-64,-123,-78,-52,-49,-159,-95,-54,3.370307754,3.202563076,5.644375462,6.144624501,6.860328167,5.155281086,5.154037501,3.224505528,3.303067727,5.433750181,5.558546204,5.904148911,4.462091036,4.701336417,2.081665999,2.708012802,2.204308136,3.086363722,2.562050461,5.129102486,-5.353846154,4.997478654
1,-3.666666667,-5.6,-3.666666667,-5.733333333,-10.73333333,-4.6,-4.4,-6.466666667,-5.2,-3.933333333,-4.8,-5.8,-4.666666667,-5.733333333,-5.133333333,-3.6,-4.933333333,-8.8,-6.266666667,-5.333333333,-55,-84,-55,-86,-161,-69,-66,-97,-78,-59,-72,-87,-70,-86,-77,-54,-74,-132,-94,-80,4.980915961,4.404543109,4.908690059,6.68117469,3.369329451,4.762952266,7.471851941,3.642343568,2.956832282,4.431489054,4.329302154,4.161043825,5.420419945,7.146094504,4.778921974,2.693908472,3.081434422,7.418124522,4.148436309,3.994043184,-5.453333333,5.063051342
1,-2.263157895,-4.894736842,-1.684210526,-4.684210526,-6.368421053,-5.052631579,-4.157894737,-5.368421053,-3.526315789,-3.894736842,-6.210526316,-4.684210526,-5.578947368,-6.052631579,-5.789473684,-1.631578947,-2.578947368,-9,-4.263157895,-3.631578947,-43,-93,-32,-89,-121,-96,-79,-102,-67,-74,-118,-89,-106,-115,-110,-31,-49,-171,-81,-69,4.240572619,4.98770418,4.784844495,4.472789728,2.499122653,4.235743201,3.41992784,4.912687953,4.194817186,4.094640628,2.417044738,3.930685996,3.254326854,4.006573546,4.090353793,4.487148641,2.71448357,4.654746681,6.496512785,5.219733138,-4.565789474,4.497179017
1,-2.615384615,-6.692307692,-3.307692308,-3.846153846,-10.23076923,-3.384615385,-1.846153846,-5.461538462,-5.461538462,-4.076923077,-5.692307692,-4.307692308,-4.846153846,-10.46153846,-5.230769231,-3.769230769,-4.538461538,-12.61538462,-7.307692308,-4.384615385,-34,-87,-43,-50,-133,-44,-24,-71,-71,-53,-74,-56,-63,-136,-68,-49,-59,-164,-95,-57,4.330867148,3.119418092,4.607685887,5.956035508,7.037445632,4.174095941,7.010066023,2.846500325,1.808101427,2.465141594,6.316441712,5.94957443,4.099718564,4.215356541,2.087815691,2.65059258,2.436369725,3.731363949,1.601281538,4.292211193,-5.503846154,4.983432611
1,0.916666667,-5.833333333,-3.083333333,-3.833333333,-8.583333333,-4.416666667,-3.083333333,-4.166666667,-7.25,-3.833333333,-7.083333333,-4.333333333,-4.5,-9.666666667,-4.25,-1.583333333,-1.833333333,-13.25,-8.5,-3,11,-70,-37,-46,-103,-53,-37,-50,-87,-46,-85,-52,-54,-116,-51,-19,-22,-159,-102,-36,5.632024234,3.242707436,2.64431924,4.018894767,4.03300775,1.56427929,2.678477632,3.214550254,1.544785952,4.706539615,3.146667309,5.432784877,2.969542358,3.773913651,2.864357773,3.872005197,1.403458931,2.864357773,1.445997611,4.709757763,-5.058333333,4.603071137
1,-3.615384615,-5.769230769,-1.846153846,-3.692307692,-9.846153846,-4,-2.538461538,-6.230769231,-4.307692308,-4.230769231,-6.769230769,-3.692307692,-5.692307692,-7.615384615,-5.769230769,-3.076923077,-3.384615385,-10.76923077,-4.923076923,-5.692307692,-47,-75,-24,-48,-128,-52,-33,-81,-56,-55,-88,-48,-74,-99,-75,-40,-44,-140,-64,-74,4.03192389,3.539158237,3.826359319,5.023023913,4.278748919,4.708148964,6.22649426,3.491748515,4.534765988,4.105968139,2.385855757,5.721081124,3.146019055,7.147708975,3.166329267,3.68468765,4.093459448,4.418782754,5.423122386,3.092588328,-5.173076923,4.82111204
1,-3.133333333,-4.8,-2.8,-2.666666667,-10.4,-3,-1,-6.466666667,-6.266666667,-1.866666667,-6.4,-2.466666667,-4.2,-9.466666667,-5.6,-4.2,-3.6,-12.8,-8,-4.133333333,-47,-72,-42,-40,-156,-45,-15,-97,-94,-28,-96,-37,-63,-142,-84,-63,-54,-192,-120,-62,4.189556176,4.930951806,2.111194652,4.894116974,4.014260295,3.070597894,5.4902511,3.440653316,2.086236073,6.186005712,3.641035959,5.194319241,3.098386677,5.125101625,2.323790008,2.210365193,1.992844342,3.509171656,1.511857892,4.373077809,-5.163333333,4.81005775
1,-0.5,-5.583333333,-2.5,-2.75,-8.583333333,-4.166666667,-2.333333333,-4.916666667,-6.666666667,-3.166666667,-6.5,-3.416666667,-4.416666667,-9,-4.916666667,-2,-1.5,-12.83333333,-7.833333333,-3.75,-6,-67,-30,-33,-103,-50,-28,-59,-80,-38,-78,-41,-53,-108,-59,-24,-18,-154,-94,-45,5.248376372,3.175426481,2.195035721,4.092676386,4.144181756,2.480224819,3.98481968,3.449857265,1.435481125,5.37389876,3.089571903,5.071459057,2.810963385,4.492417855,2.937479852,3.692744729,3.205109557,2.823065173,1.466804401,3.840572874,-4.866666667,4.537681738
1,-0.058823529,-6.176470588,-2.411764706,-4.411764706,-8.470588235,-4.882352941,-4.647058824,-4.058823529,-6.235294118,-4.705882353,-6.470588235,-4.352941176,-5,-8.941176471,-2.588235294,-0.470588235,1.352941176,-11.88235294,-8.588235294,-3.764705882,-1,-105,-41,-75,-144,-83,-79,-69,-106,-80,-110,-74,-85,-152,-44,-8,23,-202,-146,-64,4.115072725,2.242635005,3.298841151,3.675235087,3.104787574,1.218726433,2.206274475,3.716022542,2.047236301,2.756009477,3.676235287,3.621829242,2.5,2.249182858,4.31652093,3.16460201,5.278981631,3.059459775,2.762671342,2.750668368,-4.838235294,4.406580287
