label,APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30
1,13.728,6.865,6.865,6.865,0.0,6.865,6.865,0.0,0.0,13.728,13.728,0.0,6.865,0.0,0.0,6.865,6.865,0.0,0.0,6.865,-3.593,-2.327,0.999,1.405,0.206,-0.932,-2.868,-2.404,3.964,2.584
1,9.179,9.179,0.0,9.179,0.0,18.36,9.179,0.0,0.0,18.36,9.179,0.0,9.179,0.0,0.0,0.0,9.179,0.0,9.179,0.0,0.738,1.663,-2.605,-3.426,-5.354,-2.98,-1.658,-0.749,3.69,0.523
1,24.22,0.0,0.0,0.0,0.0,8.073,0.0,8.073,0.0,0.0,8.073,0.0,0.0,0.0,24.22,0.0,8.073,0.0,8.073,8.073,0.523,-0.954,0.073,-0.087,1.008,0.431,1.327,0.14,0.606,0.053
1,0.0,15.372,0.0,5.124,20.496,5.124,0.0,10.248,0.0,0.0,10.248,0.0,0.0,0.0,10.248,5.124,5.124,10.248,5.124,0.0,-1.353,-0.164,2.096,1.604,-1.184,-1.916,-1.778,-1.547,0.697,1.066
1,6.879,6.879,0.0,20.635,0.0,13.756,0.0,6.879,6.879,6.879,13.756,0.0,0.0,0.0,0.0,0.0,6.879,0.0,6.879,6.879,-1.083,-2.698,-0.707,2.079,-0.186,-1.238,-0.052,1.238,0.263,-0.789
1,22.313,5.578,5.578,16.734,0.0,0.0,0.0,11.156,5.578,0.0,5.578,0.0,0.0,5.578,5.578,11.156,0.0,0.0,0.0,11.156,1.24,0.546,-0.132,0.048,-1.95,-0.318,-1.918,-0.413,-1.569,-1.516
1,13.448,0.0,6.724,6.724,0.0,6.724,6.724,6.724,6.724,6.724,13.448,13.448,0.0,0.0,0.0,0.0,0.0,0.0,6.724,6.724,-0.857,-0.57,-2.708,-1.392,0.691,1.659,1.407,0.272,-0.706,1.341
1,7.913,15.826,0.0,0.0,0.0,0.0,7.913,0.0,0.0,7.913,31.651,0.0,15.826,7.913,0.0,15.826,0.0,0.0,0.0,0.0,1.778,1.014,0.249,-0.1,1.174,0.925,-6.237,-2.952,-4.359,-2.271
1,0.0,0.0,6.551,0.0,0.0,6.551,6.551,6.551,0.0,6.551,26.203,0.0,0.0,13.102,0.0,0.0,0.0,6.551,0.0,6.551,2.001,0.711,2.385,0.775,2.431,2.103,1.38,1.047,1.392,0.613
1,9.991,9.991,4.996,9.991,0.0,4.996,4.996,14.987,0.0,4.996,9.991,0.0,4.996,0.0,4.996,0.0,4.996,0.0,9.991,0.0,0.535,-1.279,1.364,-0.26,-0.08,1.858,1.029,0.455,-1.374,-2.158
1,6.931,6.931,0.0,6.931,13.862,6.931,0.0,6.931,0.0,6.931,0.0,0.0,0.0,13.862,6.931,13.862,6.931,0.0,0.0,6.931,-2.111,-2.558,1.752,1.44,-1.118,-1.034,0.801,0.676,-1.008,-0.806
1,0.0,6.536,6.536,0.0,6.536,0.0,6.536,26.144,6.536,0.0,6.536,0.0,6.536,6.536,6.536,6.536,6.536,0.0,0.0,0.0,-1.343,-0.049,1.892,0.069,0.216,-0.132,0.0,0.211,0.52,0.578
1,0.0,6.385,6.385,0.0,0.0,12.769,0.0,12.769,6.385,0.0,6.385,6.385,0.0,0.0,12.769,0.0,6.385,12.769,6.385,6.385,0.419,-0.02,-2.212,-0.976,-0.398,-1.149,1.195,-0.363,1.18,0.169
1,13.734,6.868,0.0,0.0,0.0,0.0,6.868,6.868,20.602,0.0,6.868,6.868,0.0,0.0,13.734,6.868,6.868,0.0,6.868,0.0,-0.191,-0.093,-1.19,-0.093,0.639,-0.371,-0.232,-0.798,-0.896,0.216
1,11.053,0.0,0.0,0.0,5.527,0.0,0.0,0.0,0.0,5.527,11.053,0.0,0.0,5.527,5.527,5.527,0.0,5.527,11.053,16.58,2.209,1.849,2.346,1.795,1.807,1.43,1.853,1.144,1.77,0.899
1,9.432,0.0,0.0,4.716,9.432,0.0,0.0,14.148,0.0,0.0,23.58,0.0,0.0,0.0,0.0,14.148,4.716,0.0,4.716,9.432,0.877,0.58,0.929,-0.41,1.019,-0.462,0.637,0.283,1.269,0.957
1,6.009,0.0,0.0,0.0,0.0,6.009,12.019,12.019,6.009,6.009,12.019,0.0,0.0,0.0,6.009,0.0,0.0,12.019,12.019,6.009,1.74,1.442,0.12,-0.774,-0.351,-0.404,0.101,0.952,0.014,1.01
1,0.0,0.0,6.322,12.645,0.0,12.645,0.0,0.0,6.322,12.645,6.322,12.645,0.0,6.322,0.0,6.322,6.322,0.0,12.645,0.0,-0.415,-0.819,-1.244,-3.015,0.455,2.888,1.31,0.642,-0.389,-0.572
1,0.0,20.027,0.0,0.0,0.0,6.676,13.351,13.351,0.0,0.0,13.351,0.0,0.0,0.0,13.351,6.676,0.0,0.0,6.676,13.351,2.702,1.399,0.529,-0.427,0.112,-0.31,-3.925,-2.035,-2.921,-1.933
1,6.839,0.0,6.839,13.677,6.839,6.839,13.677,13.677,6.839,0.0,13.677,0.0,0.0,6.839,0.0,0.0,0.0,0.0,6.839,0.0,-1.462,-1.811,-0.421,-0.031,1.272,0.015,-1.723,-0.975,1.605,0.949
1,0.0,0.0,0.0,6.614,0.0,0.0,6.614,13.227,6.614,0.0,6.614,6.614,0.0,0.0,6.614,0.0,13.227,0.0,13.227,19.84,0.169,1.394,0.089,0.268,-0.491,-0.327,-0.283,0.089,-0.471,0.362
1,7.596,7.596,3.798,11.395,0.0,15.193,3.798,3.798,0.0,0.0,3.798,11.395,0.0,0.0,0.0,0.0,0.0,0.0,3.798,3.798,0.767,1.975,2.268,3.794,0.672,2.165,2.34,4.334,2.758,2.963
1,12.349,8.232,4.116,8.232,0.0,20.581,4.116,4.116,0.0,4.116,0.0,4.116,0.0,0.0,0.0,4.116,8.232,0.0,0.0,0.0,1.474,2.239,3.005,2.997,0.947,2.573,0.239,2.84,0.432,0.93
1,6.518,6.518,0.0,0.0,6.518,0.0,6.518,0.0,0.0,26.071,13.035,0.0,6.518,6.518,6.518,6.518,6.518,0.0,0.0,0.0,1.071,0.909,-1.031,-0.567,0.557,0.323,0.323,0.699,0.181,-0.23
1,0.0,17.617,5.872,11.745,0.0,0.0,0.0,5.872,5.872,11.745,0.0,5.872,0.0,5.872,5.872,5.872,0.0,5.872,0.0,11.745,-1.023,-0.1,2.78,1.757,-0.23,-0.09,-2.032,-1.547,0.814,-0.16
1,17.116,8.558,4.279,4.279,0.0,0.0,4.279,12.837,0.0,4.279,8.558,4.279,0.0,8.558,8.558,8.558,0.0,0.0,4.279,4.279,-1.227,-1.232,-1.782,-0.503,1.145,0.852,1.058,0.036,-0.811,-0.231
1,15.899,5.3,5.3,15.899,0.0,10.599,0.0,10.599,0.0,0.0,15.899,5.3,0.0,5.3,0.0,5.3,0.0,0.0,5.3,5.3,-1.627,-0.933,-1.06,0.477,-0.154,-0.827,-0.18,-0.101,-0.906,-0.684
1,0.0,8.694,17.39,8.694,8.694,0.0,0.0,0.0,0.0,0.0,8.694,0.0,0.0,0.0,0.0,8.694,8.694,0.0,0.0,34.778,-0.537,-0.647,-0.689,-0.663,-1.043,-0.167,-0.595,-0.323,0.052,0.276
