label,PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25
1,9.04,4.52,4.52,4.52,0.0,4.52,4.52,0.0,0.0,9.04,9.04,0.0,4.52,0.0,0.0,4.52,4.52,0.0,0.0,4.52,8.689,5.556,6.326,8.597,3.031
1,5.129,5.129,0.0,5.129,0.0,10.259,5.129,0.0,0.0,10.259,5.129,0.0,5.129,0.0,0.0,0.0,5.129,0.0,5.129,0.0,5.65,8.623,10.03,8.3,5.847
1,20.206,0.0,0.0,0.0,0.0,6.735,0.0,6.735,0.0,0.0,6.735,0.0,0.0,0.0,20.206,0.0,6.735,0.0,6.735,6.735,3.985,4.441,3.322,3.233,4.195
1,0.0,8.849,0.0,2.95,11.799,2.95,0.0,5.9,0.0,0.0,5.9,0.0,0.0,0.0,5.9,2.95,2.95,5.9,2.95,0.0,8.006,7.094,8.655,9.062,8.189
1,4.325,4.325,0.0,12.976,0.0,8.65,0.0,4.325,4.325,4.325,8.65,0.0,0.0,0.0,0.0,0.0,4.325,0.0,4.325,4.325,8.269,6.017,7.244,6.465,7.127
1,14.0,3.5,3.5,10.499,0.0,0.0,0.0,7.0,3.5,0.0,3.5,0.0,0.0,3.5,3.5,7.0,0.0,0.0,0.0,7.0,5.31,6.091,6.753,7.205,8.143
1,8.937,0.0,4.469,4.469,0.0,4.469,4.469,4.469,4.469,4.469,8.937,8.937,0.0,0.0,0.0,0.0,0.0,0.0,4.469,4.469,6.964,8.895,5.516,5.433,6.163
1,4.247,8.494,0.0,0.0,0.0,0.0,4.247,0.0,0.0,4.247,16.988,0.0,8.494,4.247,0.0,8.494,0.0,0.0,0.0,0.0,5.488,7.043,6.865,10.985,10.159
1,0.0,0.0,5.449,0.0,0.0,5.449,5.449,5.449,0.0,5.449,21.795,0.0,0.0,10.898,0.0,0.0,0.0,5.449,0.0,5.449,5.989,4.703,5.925,5.334,7.214
1,6.206,6.206,3.103,6.206,0.0,3.103,3.103,9.309,0.0,3.103,6.206,0.0,3.103,0.0,3.103,0.0,3.103,0.0,6.206,0.0,7.488,7.779,7.221,6.324,9.126
1,4.628,4.628,0.0,4.628,9.255,4.628,0.0,4.628,0.0,4.628,0.0,0.0,0.0,9.255,4.628,9.255,4.628,0.0,0.0,4.628,8.212,5.591,5.817,4.307,6.66
1,0.0,4.737,4.737,0.0,4.737,0.0,4.737,18.949,4.737,0.0,4.737,0.0,4.737,4.737,4.737,4.737,4.737,0.0,0.0,0.0,5.948,6.1,6.331,5.567,4.995
1,0.0,3.827,3.827,0.0,0.0,7.654,0.0,7.654,3.827,0.0,3.827,3.827,0.0,0.0,7.654,0.0,3.827,7.654,3.827,3.827,8.356,8.282,7.786,6.497,7.844
1,9.015,4.508,0.0,0.0,0.0,0.0,4.508,4.508,13.524,0.0,4.508,4.508,0.0,0.0,9.015,4.508,4.508,0.0,4.508,0.0,5.95,7.864,5.048,6.167,7.353
1,10.54,0.0,0.0,0.0,5.271,0.0,0.0,0.0,0.0,5.271,10.54,0.0,0.0,5.271,5.271,5.271,0.0,5.271,10.54,15.811,3.7,2.656,4.222,4.498,5.87
1,7.992,0.0,0.0,3.996,7.992,0.0,0.0,11.988,0.0,0.0,19.981,0.0,0.0,0.0,0.0,11.988,3.996,0.0,3.996,7.992,3.557,5.267,4.887,3.505,2.861
1,4.242,0.0,0.0,0.0,0.0,4.242,8.485,8.485,4.242,4.242,8.485,0.0,0.0,0.0,4.242,0.0,0.0,8.485,8.485,4.242,3.655,6.577,7.436,7.521,6.934
1,0.0,0.0,4.161,8.323,0.0,8.323,0.0,0.0,4.161,8.323,4.161,8.323,0.0,4.161,0.0,4.161,4.161,0.0,8.323,0.0,7.287,8.449,4.634,5.826,7.221
1,0.0,11.248,0.0,0.0,0.0,3.749,7.499,7.499,0.0,0.0,7.499,0.0,0.0,0.0,7.499,3.749,0.0,0.0,3.749,7.499,6.707,7.844,7.622,9.889,7.949
1,4.623,0.0,4.623,9.246,4.623,4.623,9.246,9.246,4.623,0.0,9.246,0.0,0.0,4.623,0.0,0.0,0.0,0.0,4.623,0.0,8.491,5.88,5.048,7.149,4.088
1,0.0,0.0,0.0,4.745,0.0,0.0,4.745,9.489,4.745,0.0,4.745,4.745,0.0,0.0,4.745,0.0,9.489,0.0,9.489,14.234,4.099,4.896,6.266,6.43,7.138
1,6.611,6.611,3.306,9.917,0.0,13.222,3.306,3.306,0.0,0.0,3.306,9.917,0.0,0.0,0.0,0.0,0.0,0.0,3.306,3.306,7.824,5.801,7.666,6.185,6.413
1,10.348,6.898,3.449,6.898,0.0,17.246,3.449,3.449,0.0,3.449,0.0,3.449,0.0,0.0,0.0,3.449,6.898,0.0,0.0,0.0,6.305,4.753,6.619,6.109,7.23
1,4.61,4.61,0.0,0.0,4.61,0.0,4.61,0.0,0.0,18.439,9.219,0.0,4.61,4.61,4.61,4.61,4.61,0.0,0.0,0.0,5.393,6.196,6.379,6.04,6.846
1,0.0,9.579,3.193,6.386,0.0,0.0,0.0,3.193,3.193,6.386,0.0,3.193,0.0,3.193,3.193,3.193,0.0,3.193,0.0,6.386,9.073,6.875,9.952,10.639,9.181
1,10.626,5.313,2.657,2.657,0.0,0.0,2.657,7.969,0.0,2.657,5.313,2.657,0.0,5.313,5.313,5.313,0.0,0.0,2.657,2.657,7.982,8.731,5.684,6.481,7.37
1,9.346,3.115,3.115,9.346,0.0,6.231,0.0,6.231,0.0,0.0,9.346,3.115,0.0,3.115,0.0,3.115,0.0,0.0,3.115,3.115,8.96,7.168,7.495,7.474,6.598
1,0.0,6.063,12.126,6.063,6.063,0.0,0.0,0.0,0.0,0.0,6.063,0.0,0.0,0.0,0.0,6.063,6.063,0.0,0.0,24.252,5.235,5.653,5.46,5.639,5.257
1,0.0,9.889,3.296,3.296,0.0,9.889,0.0,0.0,0.0,3.296,9.889,3.296,3.296,0.0,6.592,9.889,3.296,0.0,0.0,0.0,7.446,8.25,3.616,6.299,8.465
1,14.335,4.778,0.0,9.557,0.0,0.0,0.0,4.778,0.0,0.0,4.778,9.557,0.0,4.778,0.0,0.0,0.0,0.0,0.0,4.778,10.034,6.947,8.131,8.165,9.384
1,5.473,5.473,0.0,5.473,0.0,5.473,0.0,5.473,0.0,0.0,5.473,0.0,0.0,5.473,5.473,10.947,0.0,0.0,5.473,5.473,8.755,7.54,7.169,7.937,2.919
1,0.0,4.047,8.094,4.047,4.047,4.047,0.0,4.047,0.0,0.0,8.094,12.141,0.0,8.094,0.0,0.0,0.0,0.0,4.047,0.0,8.657,10.168,2.741,6.951,10.778
1,5.16,0.0,0.0,20.641,0.0,5.16,5.16,10.321,0.0,0.0,0.0,5.16,0.0,0.0,0.0,15.481,0.0,0.0,0.0,5.16,6.469,6.285,2.998,4.833,7.17
1,0.0,0.0,0.0,0.0,0.0,4.657,0.0,4.657,4.657,4.657,0.0,13.973,0.0,0.0,0.0,0.0,9.315,4.657,4.657,9.315,8.746,11.604,6.842,4.217,8.044
1,3.97,15.88,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,3.97,3.97,0.0,0.0,11.911,0.0,3.97,0.0,0.0,7.94,4.774,5.811,8.832,12.8,12.2
1,0.0,8.539,0.0,0.0,0.0,4.27,0.0,0.0,0.0,0.0,4.27,8.539,0.0,0.0,12.809,0.0,8.539,0.0,0.0,12.809,3.156,5.741,7.732,12.247,11.351
1,2.452,2.452,0.0,4.904,0.0,7.356,2.452,4.904,0.0,2.452,2.452,4.904,0.0,4.904,2.452,4.904,2.452,4.904,2.452,2.452,7.518,9.107,10.166,8.516,5.844
1,16.624,5.541,5.541,5.541,0.0,11.083,0.0,0.0,0.0,0.0,5.541,5.541,0.0,0.0,0.0,0.0,11.083,0.0,0.0,0.0,6.424,6.832,6.53,8.545,5.173
1,0.0,16.982,0.0,4.246,0.0,4.246,8.491,0.0,4.246,4.246,0.0,4.246,0.0,0.0,8.491,4.246,0.0,4.246,0.0,0.0,7.581,10.027,7.575,5.684,5.451
1,0.0,0.0,9.622,4.811,0.0,0.0,0.0,0.0,0.0,14.434,4.811,9.622,0.0,9.622,9.622,4.811,4.811,0.0,0.0,0.0,5.766,6.816,7.087,3.995,4.168
1,13.138,8.758,0.0,0.0,0.0,0.0,0.0,4.379,0.0,4.379,0.0,0.0,0.0,0.0,0.0,8.758,8.758,0.0,4.379,13.138,7.626,7.8,8.809,5.728,4.349
1,0.0,11.303,0.0,0.0,0.0,5.651,0.0,0.0,5.651,0.0,22.605,0.0,0.0,0.0,0.0,5.651,5.651,0.0,0.0,5.651,8.37,4.302,8.255,6.045,10.863
1,0.0,3.88,3.88,7.76,0.0,7.76,7.76,7.76,0.0,3.88,0.0,3.88,0.0,0.0,3.88,0.0,3.88,3.88,0.0,3.88,9.697,5.507,9.362,6.714,6.637
1,12.911,6.455,3.228,0.0,0.0,6.455,0.0,0.0,3.228,6.455,9.683,6.455,3.228,0.0,0.0,3.228,3.228,0.0,0.0,0.0,8.24,7.375,5.197,6.93,7.704
1,0.0,0.0,3.712,3.712,0.0,22.276,3.712,3.712,3.712,7.425,3.712,7.425,0.0,0.0,3.712,0.0,0.0,0.0,0.0,7.425,5.971,6.927,5.174,6.296,5.093
1,21.872,0.0,43.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.872,0.0,0.0,0.0,0.0,0.0,3.832,0.831,4.038,0.0,3.81
1,13.87,4.623,9.247,9.247,0.0,0.0,0.0,0.0,0.0,4.623,4.623,0.0,4.623,0.0,0.0,4.623,0.0,0.0,4.623,4.623,8.165,6.718,6.472,6.56,7.359
1,0.0,0.0,4.803,4.803,0.0,0.0,9.605,9.605,4.803,0.0,9.605,4.803,4.803,9.605,0.0,0.0,4.803,0.0,0.0,4.803,6.628,5.486,6.102,4.938,4.809
1,0.0,5.007,0.0,5.007,0.0,0.0,0.0,15.022,0.0,5.007,0.0,10.015,0.0,0.0,0.0,5.007,15.022,0.0,0.0,5.007,8.993,5.09,7.922,4.677,8.222
1,3.305,3.305,3.305,3.305,0.0,3.305,3.305,0.0,0.0,3.305,6.609,9.914,6.609,6.609,3.305,6.609,0.0,0.0,0.0,3.305,6.156,7.075,6.084,8.942,5.651
