label,pssm_avg_A,pssm_avg_R,pssm_avg_N,pssm_avg_D,pssm_avg_C,pssm_avg_Q,pssm_avg_E,pssm_avg_G,pssm_avg_H,pssm_avg_I,pssm_avg_L,pssm_avg_K,pssm_avg_M,pssm_avg_F,pssm_avg_P,pssm_avg_S,pssm_avg_T,pssm_avg_W,pssm_avg_Y,pssm_avg_V,pssm_sum_A,pssm_sum_R,pssm_sum_N,pssm_sum_D,pssm_sum_C,pssm_sum_Q,pssm_sum_E,pssm_sum_G,pssm_sum_H,pssm_sum_I,pssm_sum_L,pssm_sum_K,pssm_sum_M,pssm_sum_F,pssm_sum_P,pssm_sum_S,pssm_sum_T,pssm_sum_W,pssm_sum_Y,pssm_sum_V,pssm_std_A,pssm_std_R,pssm_std_N,pssm_std_D,pssm_std_C,pssm_std_Q,pssm_std_E,pssm_std_G,pssm_std_H,pssm_std_I,pssm_std_L,pssm_std_K,pssm_std_M,pssm_std_F,pssm_std_P,pssm_std_S,pssm_std_T,pssm_std_W,pssm_std_Y,pssm_std_V,pssm_overall_avg,pssm_overall_std
1,-0.4,-1.066666667,-1.133333333,-1.4,-1.8,-0.4,-0.8,-2.2,-1.733333333,-0.533333333,-0.533333333,-1.133333333,-0.066666667,-1.866666667,-2,-0.533333333,-0.133333333,-2.933333333,-1.666666667,-0.266666667,-6,-16,-17,-21,-27,-6,-12,-33,-26,-8,-8,-17,-1,-28,-30,-8,-2,-44,-25,-4,1.992844342,2.282438128,2.72204405,2.848558533,1.424279266,2.261478657,2.677952309,1.656157342,1.709915063,2.972893412,2.774029217,1.684664726,2.313521332,1.597617273,0.9258201,2.133630932,1.641718032,0.798808637,0.6172134,2.491891613,-1.13,2.161735414
1,-0.75,-0.666666667,-1.25,-0.916666667,-2.25,-0.083333333,-0.083333333,-2.416666667,-1.166666667,-0.583333333,-0.666666667,-0.833333333,-0.083333333,-1.416666667,-2,-0.833333333,-0.5,-2.333333333,-0.916666667,-0.583333333,-9,-8,-15,-11,-27,-1,-1,-29,-14,-7,-8,-10,-1,-17,-24,-10,-6,-28,-11,-7,1.602554779,2.424621183,1.602554779,2.937479852,1.544785952,2.314316445,2.937479852,1.240112409,1.585922922,2.712205856,2.534608929,1.749458791,2.391588796,2.020725942,0.953462589,1.337115847,1.78376517,1.556997888,2.574643253,2.274696117,-1.016666667,2.117322733
1,0.416666667,-1.5,-1.666666667,-1.666666667,-1.666666667,-1,-0.916666667,-1.166666667,-1.666666667,-1.333333333,-1.333333333,-1.166666667,-1.083333333,-2,0.5,-0.416666667,-0.416666667,-2.333333333,-1.416666667,-0.583333333,5,-18,-20,-20,-20,-12,-11,-14,-20,-16,-16,-14,-13,-24,6,-5,-5,-28,-17,-7,2.234373344,0.674199862,1.07308674,1.302677895,1.370688834,1.044465936,1.975225342,2.587850401,1.370688834,2.10338832,2.188122206,0.83484711,1.378954369,2,3.988620176,1.240112409,1.56427929,1.61432977,2.745519766,1.880924982,-1.120833333,1.963729268
1,-1.1,-1.55,-1.95,-2.05,-0.25,-1.75,-2,-1.9,-2.25,-2.15,-1.85,-1.75,-1.4,-2.3,-1.7,-0.8,-0.4,-1.05,-1.65,-1.85,-22,-31,-39,-41,-5,-35,-40,-38,-45,-43,-37,-35,-28,-46,-34,-16,-8,-21,-33,-37,1.333771858,3.068944615,2.305028827,2.62528194,5.300198606,1.650358813,2.271099896,2.531901719,1.371706582,1.954078057,2.230765741,2.244877209,1.818038272,2.515216847,3.59970759,2.092593455,2.303315688,4.946822478,2.254235779,1.694418081,-1.585,2.695881118
1,-0.8,-1.133333333,-0.8,-0.133333333,-2.133333333,-0.6,-0.066666667,-1.666666667,-0.733333333,-1.133333333,-1.266666667,-1,-1.066666667,-1.6,-1.8,-0.666666667,-0.666666667,-2.533333333,-1.133333333,-0.933333333,-12,-17,-12,-2,-32,-9,-1,-25,-11,-17,-19,-15,-16,-24,-27,-10,-10,-38,-17,-14,1.521277659,1.959105724,1.656157342,3.642343568,1.245945806,1.502379066,2.711527421,2.439750182,2.814926202,2.614975189,2.814926202,1.362770288,1.79151439,1.764733893,0.861891607,1.112697281,1.67616342,1.457329587,2.587515815,2.344192419,-1.093333333,2.12711594
1,-1.421052632,-6.263157895,-2.736842105,-3.421052632,-8.631578947,-4.526315789,-3.894736842,-3.421052632,-4.789473684,-5.473684211,-6.578947368,-6.105263158,-6.052631579,-7.947368421,-4.368421053,-2.157894737,-3.842105263,-11,-8.210526316,-4.210526316,-27,-119,-52,-65,-164,-86,-74,-65,-91,-104,-125,-116,-115,-151,-83,-41,-73,-209,-156,-80,4.513138714,4.457728685,4.38231427,6.397185053,3.803660902,2.950864677,3.998537744,4.634601619,3.994147766,3.672244561,4.488451719,3.107244883,3.535120369,5.169071314,3.932917016,3.804429551,2.754050712,4.5704364,3.895566531,4.601677802,-5.252631579,4.711617045
1,-0.466666667,-0.866666667,-0.666666667,-1.066666667,-2,-0.333333333,-0.4,-1.533333333,-0.666666667,-1.133333333,-1,-0.466666667,-0.733333333,-1.6,-1.8,-0.533333333,-0.933333333,-2.466666667,-0.933333333,-0.8,-7,-13,-10,-16,-30,-5,-6,-23,-10,-17,-15,-7,-11,-24,-27,-8,-14,-37,-14,-12,1.922300209,1.641718032,2.380476143,2.604026187,1.253566341,2.023669463,2.292846017,2.503331114,2.84521319,2.614975189,2.618614683,2.133630932,1.624221425,1.764733893,0.861891607,1.187233679,0.703731551,1.407463101,2.491891613,2.242447642,-1.02,2.059028897
1,-0.928571429,-0.928571429,-2.285714286,-2.714285714,-1.785714286,-0.571428571,-1.642857143,-2.714285714,-1.714285714,-0.142857143,0.714285714,-1.357142857,0.857142857,-0.857142857,-2.357142857,-0.928571429,-0.571428571,-2.214285714,-1.214285714,-0.357142857,-13,-13,-32,-38,-25,-8,-23,-38,-24,-2,10,-19,12,-12,-33,-13,-8,-31,-17,-5,2.055547306,3.149219335,1.938618518,1.683794772,1.251372872,2.408775166,1.823232246,1.589802669,1.437335753,2.656114654,3.383866051,2.023216892,2.713418022,2.769536003,1.008208072,2.813819898,1.157868447,1.050902281,1.311403912,1.94569121,-1.185714286,2.279052793
1,-1.769230769,-2.307692308,-2,-2.769230769,-2.153846154,-1.384615385,-1.846153846,-2.461538462,-1.923076923,-0.153846154,0.307692308,-2.230769231,0,-0.076923077,-2.769230769,-1.923076923,-1.230769231,-0.923076923,-0.615384615,-0.538461538,-23,-30,-26,-36,-28,-18,-24,-32,-25,-2,4,-29,0,-1,-36,-25,-16,-12,-8,-7,1.012739367,1.377474463,3.16227766,2.278663576,1.14354375,2.724532423,2.911075227,3.09880043,1.754116039,3.105000103,3.119418092,1.739436985,1.914854216,3.616202853,1.012739367,1.552500052,0.832050294,4.152540156,2.218800785,2.569545505,-1.438461538,2.53742403
1,-0.3,-0.65,-0.8,-1.05,-2.1,-0.65,-0.85,-0.8,-1.15,-1.5,-1.3,-0.8,-0.9,-1.6,-1.55,-0.35,-0.85,-2.4,-1.3,-1.2,-6,-13,-16,-21,-42,-13,-17,-16,-23,-30,-26,-16,-18,-32,-31,-7,-17,-48,-26,-24,1.838191331,2.433861995,2.142305693,2.502104377,1.165287405,1.631111988,2.058998223,3.188796176,1.460893742,2.438722703,2.536055786,1.735086832,1.889026483,2.303315688,2.163695669,1.386969434,1.136708082,1.635140425,2.617753155,1.880649384,-1.105,2.086618077
1,-0.333333333,-1.733333333,-1.333333333,-1.466666667,-0.6,-1.4,-1.4,-1.533333333,-1.733333333,-1.333333333,-1.6,-1.4,-1.4,-1.4,-1.533333333,-0.266666667,-0.266666667,-2.666666667,-1.533333333,-1.066666667,-5,-26,-20,-22,-9,-21,-21,-23,-26,-20,-24,-21,-21,-21,-23,-4,-4,-40,-23,-16,1.588650221,2.433887739,1.799470822,2.72204405,4.500793581,1.804755623,2.613153541,2.445598573,1.162919151,2.380476143,1.804755623,1.638814903,1.352246808,3.581699517,2.850229732,2.250925735,1.907379154,1.588650221,1.959105724,2.153623746,-1.3,2.341651839
1,-0.666666667,-1,-0.4,-1.6,-1.6,-0.866666667,-1.4,0.066666667,-0.866666667,-2,-1.8,-1.2,-1.2,-1.733333333,-1.466666667,-0.266666667,-0.8,-2.466666667,-1.533333333,-1.733333333,-10,-15,-6,-24,-24,-13,-21,1,-13,-30,-27,-18,-18,-26,-22,-4,-12,-37,-23,-26,0.899735411,2.236067977,2.323790008,1.549193338,3.065941943,1.995232413,1.594633859,3.844600419,2.695675549,2.20389266,2.336052837,1.424279266,2.042407543,2.433887739,2.748159557,1.533747356,1.82051798,1.187233679,1.807392228,1.624221425,-1.226666667,2.188292079
1,-1.375,-1.3125,-0.9375,-1.6875,-2.9375,-0.6875,-0.9375,-1.75,-0.75,-2.0625,-1.9375,-1.0625,-1.5625,-1.6875,-1.5,-1.25,-1.125,-0.375,-0.6875,-1.875,-22,-21,-15,-27,-47,-11,-15,-28,-12,-33,-31,-17,-25,-27,-24,-20,-18,-6,-11,-30,0.957427108,2.330057224,2.954516317,2.522399651,0.680073525,1.579820665,2.815877602,3.130495168,2.516611478,2.407453703,2.174664725,1.982212568,1.547847968,2.75,3.464101615,1.064581295,1.204159458,5.439056291,3.135150182,2.446085308,-1.375,2.562347556
1,-0.333333333,-0.4,-0.6,-1.4,-2.066666667,-0.2,-0.6,-1.266666667,0.6,-2.133333333,-1.8,-0.466666667,-1.2,-1.866666667,-0.533333333,-0.2,-0.666666667,-2.333333333,-0.666666667,-1.666666667,-5,-6,-9,-21,-31,-3,-9,-19,9,-32,-27,-7,-18,-28,-8,-3,-10,-35,-10,-25,1.951800146,1.91982142,1.4040757,1.055597326,1.162919151,1.698739028,1.242118007,2.282438128,4.014260295,1.505545305,1.85933936,1.641718032,1.146423008,1.767430203,3.136573806,1.521277659,1.799470822,1.397276262,2.768874621,1.345185418,-0.99,2.051804084
1,-0.4,-2.466666667,-2.666666667,-3.4,-0.8,-2.133333333,-2.466666667,-2.8,-2.133333333,0,-0.133333333,-2.333333333,-0.333333333,-0.333333333,-2,-1.4,-0.8,-1,0.133333333,0.333333333,-6,-37,-40,-51,-12,-32,-37,-42,-32,0,-2,-35,-5,-5,-30,-21,-12,-15,2,5,2.501428163,0.743223353,1.290994449,1.298350602,3.189267717,1.060098827,1.245945806,1.567527626,1.959105724,2.725540575,2.263583337,1.112697281,1.588650221,2.943920289,2.927700219,1.992844342,1.207121724,4.088310863,3.58302878,2.439750182,-1.356666667,2.470382337
1,0.25,-2.25,-1.9,-2.4,-0.65,-1.75,-2.05,-0.9,-2.3,-0.85,-0.65,-2,-0.2,-1.75,-2.15,-0.4,-0.45,-2.55,-1.55,-0.35,5,-45,-38,-48,-13,-35,-41,-18,-46,-17,-13,-40,-4,-35,-43,-8,-9,-51,-31,-7,2.074278568,0.910465468,1.483239697,2.542274158,3.759549245,0.910465468,1.468081455,3.582119337,1.417930293,2.412140347,2.924938146,1.076055174,2.64773985,2.149051198,1.496487115,2.087557122,1.468081455,1.316894273,2.523051619,2.368099393,-1.3425,2.292420936
1,-1.0625,-1.75,-1.875,-2.1875,-2.375,-0.5625,-1.1875,-1.5625,-0.9375,-1.375,-1.125,-1.5625,-0.875,-0.9375,-1.75,-1.375,-1.4375,-0.4375,-0.0625,-1.125,-17,-28,-30,-35,-38,-9,-19,-25,-15,-22,-18,-25,-14,-15,-28,-22,-23,-7,-1,-18,1.652018967,1.437590577,1.821171784,1.939716474,1.147460965,2.804014979,2.344319375,3.119161212,2.999305475,2.680174124,2.552776266,1.459166429,1.707825128,2.205107707,2.792848009,1.408308678,0.892094913,4.774498228,3.234578798,2.305789814,-1.278125,2.417544515
1,-4.75,-6.375,-1.8125,-3.8125,-10.0625,-4.875,-3.5,-7.1875,-4.375,-3.625,-6,-4.25,-5.9375,-6.5625,-7,-4.125,-3.75,-10.125,-4.5625,-5.5625,-76,-102,-29,-61,-161,-78,-56,-115,-70,-58,-96,-68,-95,-105,-112,-66,-60,-162,-73,-89,2.670830083,3.575378768,3.902456491,6.715343128,4.449250873,4.602535533,5.645056835,3.763309714,4.209117089,4.991659711,4.760952286,5.347896783,4.218510796,7.247700785,2.988868236,3.575378768,3.623994113,4.364630569,6.500961467,3.520771696,-5.4125,4.977935692
1,-3.9375,-3.5625,-4.875,-6.8125,-9.3125,-3.125,-4.8125,-5.8125,-4.25,-5.3125,-5.125,-5.1875,-4.6875,-8.1875,-3.75,-3.75,-5,-9.9375,-8.8125,-4.4375,-63,-57,-78,-109,-149,-50,-77,-93,-68,-85,-82,-83,-75,-131,-60,-60,-80,-159,-141,-71,2.515783509,6.772185762,2.334523506,4.230346715,3.910988792,5.277309921,4.72184639,5.369279902,2.977694858,4.011961283,5.289927536,3.270448491,3.497022543,4.102336732,5.221749388,3.356585567,1.825741858,5.615083852,5.682942313,4.802343178,-5.534375,4.710235489
1,-1,-1.533333333,-0.6,-0.6,-1.866666667,-0.2,-0.533333333,-1,-0.333333333,-2.066666667,-1.733333333,-1.266666667,-1.2,-1.666666667,-2.133333333,-0.733333333,-1.2,-2.466666667,-1,-1.733333333,-15,-23,-9,-9,-28,-3,-8,-15,-5,-31,-26,-19,-18,-25,-32,-11,-18,-37,-15,-26,1.603567451,1.552264091,2.557900925,3.290679478,3.481926123,2.956832282,2.669046557,3.093772547,2.819996623,2.120197655,2.658320272,1.486446706,1.698739028,3.132015934,0.915475416,1.387014608,0.676123404,1.884776101,2.853569194,1.486446706,-1.243333333,2.36448491
1,-0.8,-1.466666667,-1.066666667,-1.4,-2.133333333,-0.733333333,-1,-1.333333333,-0.8,-1.066666667,-1.266666667,-1,-0.933333333,-1.466666667,-1.333333333,-0.8,-0.333333333,-2.133333333,-0.466666667,-0.466666667,-12,-22,-16,-21,-32,-11,-15,-20,-12,-16,-19,-15,-14,-22,-20,-12,-5,-32,-7,-7,0.861891607,1.457329587,1.533747356,2.354327323,1.060098827,1.830950833,1.558387445,3.062834044,2.93257566,2.604026187,2.282438128,1.8516402,1.667618776,2.166849809,2.410295378,1.146423008,2.288688541,1.807392228,3.292126249,2.614975189,-1.1,2.123676058
1,-0.3,0.05,-0.25,0,-2.4,0.3,0.7,-1.2,-0.85,-2.1,-2,0.3,-1.3,-2.3,-1.45,-0.15,-0.85,-2.7,-1.6,-1.45,-6,1,-5,0,-48,6,14,-24,-17,-42,-40,6,-26,-46,-29,-3,-17,-54,-32,-29,1.949358869,2.258900524,1.915999121,2.955814965,1.231174023,1.688973528,2.319255779,2.015727634,1.225818738,1.774082417,1.891810606,2.00262985,1.301820588,1.490319641,0.686332741,0.933302004,0.587142949,1.301820588,2.112618729,1.700619082,-0.9775,1.984185916
1,-0.1,-0.1,0.15,0.05,-2.35,0.4,1,-1.1,-0.9,-2.15,-2.2,0.15,-1.45,-2.55,-1.3,0.3,-0.25,-2.8,-2.05,-1.5,-2,-2,3,1,-47,8,20,-22,-18,-43,-44,3,-29,-51,-26,6,-5,-56,-41,-30,1.889026483,2.074912807,1.631111988,2.416500297,1.460893742,1.818038272,2.615741819,1.774082417,1.071152847,1.725200217,1.281446551,1.565247584,0.998683344,0.759154655,0.571240571,1.174285897,1.585294261,0.695852374,0.510417786,1.357241785,-0.9375,1.889072193
1,-0.933333333,-1.6,-2.4,-2.866666667,-0.866666667,-1.266666667,-2.2,-2.866666667,-2.266666667,0.6,0.266666667,-1.866666667,0.2,-1,-1.733333333,-1.266666667,-0.4,-2.533333333,-1.6,0.133333333,-14,-24,-36,-43,-13,-19,-33,-43,-34,9,4,-28,3,-15,-26,-19,-6,-38,-24,2,1.94446712,2.414243448,1.723783215,1.552264091,3.204163958,2.463060427,1.934646516,1.407463101,1.533747356,3.224903099,2.433887739,1.807392228,2.242447642,2.751622898,2.865226659,2.186538905,1.723783215,1.125462868,1.4040757,2.263583337,-1.323333333,2.357708398
