label,APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30
1,13.292,0.0,0.0,6.647,0.0,6.647,0.0,6.647,0.0,6.647,6.647,6.647,0.0,0.0,6.647,6.647,26.586,0.0,0.0,6.647,0.788,0.214,0.204,-0.673,0.713,0.573,-0.184,-0.628,-0.553,-0.15
1,12.938,4.313,21.563,4.313,0.0,0.0,0.0,8.626,4.313,4.313,8.626,4.313,0.0,0.0,8.626,0.0,12.938,0.0,0.0,4.313,1.394,0.853,-0.446,-0.238,-0.675,-0.481,0.203,-0.332,0.263,0.268
1,5.311,10.621,0.0,21.243,0.0,5.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.243,5.311,5.311,0.0,10.621,10.621,-0.186,0.382,0.325,1.687,0.454,0.177,2.127,1.391,-1.558,-0.392
1,9.996,0.0,14.993,0.0,0.0,9.996,4.998,4.998,0.0,4.998,9.996,14.993,0.0,0.0,0.0,0.0,9.996,0.0,14.993,0.0,-0.205,1.219,0.59,1.189,0.74,-0.23,-0.785,-1.07,-0.265,-1.139
1,18.625,0.0,12.417,6.208,0.0,0.0,18.625,6.208,0.0,0.0,18.625,6.208,0.0,0.0,0.0,0.0,6.208,0.0,0.0,12.417,-0.528,-0.575,-1.462,-1.504,0.274,1.515,-0.216,-0.169,-1.699,-1.177
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.051,0.0,7.051,14.101,14.101,7.051,14.101,21.152,7.051,7.051,0.0,0.0,0.0,0.602,-0.104,-0.755,-1.545,0.35,0.217,1.214,0.839,0.508,-0.035
1,0.0,7.983,3.992,7.983,7.983,15.966,0.0,0.0,0.0,0.0,7.983,0.0,3.992,0.0,3.992,15.966,11.974,3.992,0.0,3.992,-0.11,-1.729,0.977,2.706,0.101,-0.56,1.585,2.462,-0.469,-0.757
1,9.896,9.896,4.948,4.948,0.0,9.896,0.0,0.0,0.0,14.844,4.948,0.0,4.948,9.896,0.0,14.844,4.948,0.0,0.0,4.948,-0.668,-0.238,-3.924,-2.652,0.238,0.975,4.181,3.068,-0.341,0.401
1,15.178,7.589,0.0,15.178,15.178,0.0,7.589,0.0,0.0,7.589,7.589,7.589,0.0,0.0,7.589,7.589,0.0,0.0,0.0,7.589,-3.182,-2.215,1.578,1.392,-3.857,-1.551,4.212,2.89,-3.729,-1.78
1,22.413,7.471,0.0,7.471,14.942,7.471,7.471,0.0,0.0,7.471,7.471,7.471,0.0,0.0,7.471,7.471,0.0,0.0,0.0,0.0,-0.779,-1.088,-1.532,0.418,-0.821,-0.628,2.322,2.986,-3.284,-2.186
