label,PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25
1,10.382,0.0,0.0,5.191,0.0,5.191,0.0,5.191,0.0,5.191,5.191,5.191,0.0,0.0,5.191,5.191,20.765,0.0,0.0,5.191,3.566,4.154,3.94,5.147,5.326
1,9.681,3.227,16.136,3.227,0.0,0.0,0.0,6.455,3.227,3.227,6.455,3.227,0.0,0.0,6.455,0.0,9.681,0.0,0.0,3.227,3.526,6.042,5.927,5.166,5.114
1,3.573,7.146,0.0,14.293,0.0,3.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.293,3.573,3.573,0.0,7.146,7.146,6.519,6.01,7.017,6.663,9.474
1,6.87,0.0,10.305,0.0,0.0,6.87,3.435,3.435,0.0,3.435,6.87,10.305,0.0,0.0,0.0,0.0,6.87,0.0,10.305,0.0,5.541,4.775,6.214,7.365,7.406
1,12.832,0.0,8.555,4.277,0.0,0.0,12.832,4.277,0.0,0.0,12.832,4.277,0.0,0.0,0.0,0.0,4.277,0.0,0.0,8.555,5.817,5.792,4.508,5.232,5.937
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.094,0.0,5.094,10.187,10.187,5.094,10.187,15.281,5.094,5.094,0.0,0.0,0.0,5.608,6.781,6.015,4.781,5.505
1,0.0,5.662,2.831,5.662,5.662,11.325,0.0,0.0,0.0,0.0,5.662,0.0,2.831,0.0,2.831,11.325,8.494,2.831,0.0,2.831,7.284,4.909,6.292,5.178,8.388
1,6.441,6.441,3.221,3.221,0.0,6.441,0.0,0.0,0.0,9.662,3.221,0.0,3.221,6.441,0.0,9.662,3.221,0.0,0.0,3.221,7.453,9.878,6.177,4.358,7.72
1,9.252,4.626,0.0,9.252,9.252,0.0,4.626,0.0,0.0,4.626,4.626,4.626,0.0,0.0,4.626,4.626,0.0,0.0,0.0,4.626,9.167,5.32,8.192,3.419,9.141
1,13.81,4.603,0.0,4.603,9.207,4.603,4.603,0.0,0.0,4.603,4.603,4.603,0.0,0.0,4.603,4.603,0.0,0.0,0.0,0.0,7.663,7.424,5.961,4.843,9.661
1,4.702,4.702,4.702,0.0,9.404,9.404,0.0,0.0,0.0,4.702,4.702,4.702,0.0,0.0,4.702,9.404,0.0,0.0,0.0,4.702,6.527,6.454,7.679,6.02,7.491
1,5.55,5.55,5.55,5.55,0.0,5.55,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,5.55,5.55,0.0,0.0,5.55,5.55,8.385,6.218,10.095,5.37,8.88
1,5.667,5.667,17.003,0.0,0.0,5.667,5.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.335,5.667,0.0,5.667,5.667,5.815,6.9,5.801,6.165,7.308
1,7.727,0.0,0.0,0.0,0.0,7.727,19.318,3.864,0.0,0.0,0.0,0.0,0.0,0.0,30.908,0.0,0.0,0.0,7.727,0.0,4.273,5.258,3.782,4.068,5.347
1,0.0,15.912,0.0,0.0,0.0,3.182,3.182,12.73,3.182,0.0,0.0,0.0,0.0,0.0,0.0,19.095,3.182,0.0,0.0,0.0,11.026,5.584,8.021,6.298,8.604
1,4.954,0.0,0.0,0.0,0.0,0.0,0.0,24.769,0.0,0.0,4.954,4.954,0.0,0.0,34.677,0.0,0.0,0.0,4.954,0.0,4.542,5.303,2.406,4.237,4.252
1,7.002,3.501,3.501,7.002,0.0,0.0,3.501,3.501,0.0,7.002,3.501,7.002,0.0,0.0,3.501,0.0,7.002,0.0,0.0,10.504,6.253,7.65,5.914,7.095,6.563
1,6.092,0.0,3.046,3.046,0.0,3.046,0.0,15.231,0.0,6.092,6.092,3.046,3.046,6.092,0.0,3.046,0.0,0.0,0.0,15.231,3.849,6.558,6.203,5.085,5.194
1,3.691,7.382,0.0,7.382,0.0,0.0,0.0,14.765,0.0,7.382,3.691,0.0,0.0,7.382,0.0,3.691,0.0,0.0,0.0,0.0,7.782,12.253,9.133,6.721,8.745
1,3.461,3.461,3.461,0.0,3.461,0.0,3.461,10.384,0.0,3.461,0.0,0.0,0.0,10.384,3.461,6.923,0.0,3.461,3.461,10.384,7.269,6.362,6.746,6.452,3.946
